Heavy atom count,Decoded SMILES,Connection IDs,Encoded SMILES,Coordination environment
6,C=CC(C)N,[4],[Li]<-NC(C)C=C,['N([C])']
6,c1nnc[nH]1,[4],[Li]<-[nH]1cnnc1,['N([C])([C])']
6,C=CC=NC,[3],[Li]<-N(C)=CC=C,['N([C])([C])']
6,CN(C)[C]F,[3],[Be]=C(F)N(C)C,['C_carb([F])([N])']
6,CN[C]OC,[2],[Be]=C(NC)OC,['C_carb([N])([O])']
6,CN(C)N=S,[4],[Li]<-S=NN(C)C,['S([N])']
6,NC(=S)CO,[4],[Li]<-OCC(N)=S,['O([C])']
6,CCO[C]Cl,[3],[Be]=C(Cl)OCC,['C_carb([Cl])([O])']
6,O=C1CCS1,[4],[Li]<-S1CCC1=O,['S([C])([C])']
6,CCC(C)=N,[4],[Li]<-N=C(C)CC,['N([C])']
6,[C]1CCCN1,[0],[Be]=C1CCCN1,['C_carb([C])([N])']
6,c1cp[nH]n1,[3],[Li]<-[nH]1nccp1,['N([N])([P])']
6,COC(C)=S,[4],[Li]<-S=C(C)OC,['S([C])']
6,CNC([O-])=S,[4],[Li]<-S=C([O-])NC,['S([C])']
6,CNC(C)=S,[4],[Li]<-S=C(C)NC,['S([C])']
6,CCNCCl,[2],[Li]<-N(CC)CCl,['N([C])([C])']
6,CN=C(C)C,[1],[Li]<-N(C)=C(C)C,['N([C])([C])']
6,c1nnn[nH]1,[4],[Li]<-[nH]1cnnn1,['N([C])([N])']
6,CCCSC,[3],[Li]<-S(C)CCC,['S([C])([C])']
6,CC(N)C=O,[4],[Li]<-O=CC(C)N,['O([C])']
6,CC(=O)CN,[4],[Li]<-NCC(C)=O,['N([C])']
6,CSC(C)C,[1],[Li]<-S(C)C(C)C,['S([C])([C])']
6,CC[SH](C)C,[2],[Li]<-[SH](C)(C)CC,['S([C])([C])([C])']
6,C=C(C)NC,[3],[Li]<-N(C)C(=C)C,['N([C])([C])']
6,CCC(N)=S,[4],[Li]<-S=C(N)CC,['S([C])']
6,CO[C]OC,[2],[Be]=C(OC)OC,['C_carb([O])([O])']
6,CC(N)CO,[2],[Li]<-NC(C)CO,['N([C])']
6,CNC(C)O,[1],[Li]<-N(C)C(C)O,['N([C])([C])']
6,CC(=O)NN,[2],[Li]<-O=C(C)NN,['O([C])']
6,CP1C2CC21,[1],[Li]<-P1(C)C2CC21,['P([C])([C])([C])']
6,CN(C)C=N,[4],[Li]<-N=CN(C)C,['N([C])']
6,CCC(C)O,[4],[Li]<-OC(C)CC,['O([C])']
6,CC(C)=C=O,[4],[Li]<-O=C=C(C)C,['O([C])']
6,CC(C)C=N,[4],[Li]<-N=CC(C)C,['N([C])']
6,CCC=NC,[3],[Li]<-N(C)=CCC,['N([C])([C])']
6,CCC[SH]=O,[3],[Li]<-[SH](=O)CCC,['S([O])([C])']
6,CS[C]NN,[2],[Be]=C(NN)SC,['C_carb([N])([S])']
6,O=C1CSC1,[3],[Li]<-S1CC(=O)C1,['S([C])([C])']
6,CCO[C]N,[3],[Be]=C(N)OCC,['C_carb([N])([O])']
6,COC[C]N,[3],[Be]=C(N)COC,['C_carb([N])([C])']
6,CCCON,[4],[Li]<-NOCCC,['N([O])']
6,C1=NCCN1,[4],[Li]<-N1C=NCC1,['N([C])([C])']
6,CN=[Si](C)C,[1],[Li]<-N(C)=[Si](C)C,['N([C])([Si])']
6,C=CC(N)=O,[4],[Li]<-O=C(N)C=C,['O([C])']
6,CC(=S)NN,[2],[Li]<-S=C(C)NN,['S([C])']
6,CN(C)CO,[1],[Li]<-N(C)(C)CO,['N([C])([C])([C])']
6,C=CC=NO,[3],[Li]<-N(O)=CC=C,['N([O])([C])']
6,N[C]C(S)S,[1],[Be]=C(N)C(S)S,['C_carb([N])([C])']
6,[C]1CCCO1,[0],[Be]=C1CCCO1,['C_carb([C])([O])']
6,NC(=S)N=O,[3],[Li]<-N(=O)C(N)=S,['N([O])([C])']
6,C[C]OCC,[1],[Be]=C(C)OCC,['C_carb([C])([O])']
6,CC(C)=[N+]=[N-],[4],[Li]<-[N-]=[N+]=C(C)C,['N([N])']
6,CCCNC,[3],[Li]<-N(C)CCC,['N([C])([C])']
6,CC(=N)C#N,[2],[Li]<-N=C(C)C#N,['N([C])']
6,CNCCO,[1],[Li]<-N(C)CCO,['N([C])([C])']
6,CC[C]OC,[2],[Be]=C(CC)OC,['C_carb([C])([O])']
6,CC[S+](C)[O-],[4],[Li]<-[O-][S+](C)CC,['O([S])']
6,CC(=N)CO,[2],[Li]<-N=C(C)CO,['N([C])']
6,NC(=O)C=S,[4],[Li]<-S=CC(N)=O,['S([C])']
6,[C]=NCC=C,[0],[Be]=C=NCC=C,['C_carb([N])']
6,CSCCO,[1],[Li]<-S(C)CCO,['S([C])([C])']
6,CCNC=S,[4],[Li]<-S=CNCC,['S([C])']
6,CC(O)CN,[4],[Li]<-NCC(C)O,['N([C])']
6,[C]1CCOC1,[0],[Be]=C1CCOC1,['C_carb([C])([C])']
6,CC(C)N=O,[3],[Li]<-N(=O)C(C)C,['N([O])([C])']
6,CN(C)[C]N,[3],[Be]=C(N)N(C)C,['C_carb([N])([N])']
6,NCC(=O)O,[3],[Li]<-O=C(O)CN,['O([C])']
6,C[C]N(C)C,[1],[Be]=C(C)N(C)C,['C_carb([C])([N])']
6,N#CC(N)=O,[0],[Li]<-N#CC(N)=O,['N([C])']
6,CC(=O)C#N,[4],[Li]<-N#CC(C)=O,['N([C])']
6,CN=C(C)N,[1],[Li]<-N(C)=C(C)N,['N([C])([C])']
6,CNC(C)C,[1],[Li]<-N(C)C(C)C,['N([C])([C])']
6,C#CCNC,[3],[Li]<-N(C)CC#C,['N([C])([C])']
6,C=CC(C)=O,[4],[Li]<-O=C(C)C=C,['O([C])']
6,CC(C)=NN,[3],[Li]<-N(N)=C(C)C,['N([N])([C])']
6,CC(N)C#N,[4],[Li]<-N#CC(C)N,['N([C])']
6,C=CC(C)=N,[4],[Li]<-N=C(C)C=C,['N([C])']
6,C=NN(C)C,[1],[Li]<-N(=C)N(C)C,['N([C])([N])']
6,BOC(C)=N,[4],[Li]<-N=C(C)OB,['N([C])']
6,C=CC(N)=S,[4],[Li]<-S=C(N)C=C,['S([C])']
6,[C]=C(C)OC,[0],[Be]=C=C(C)OC,['C_carb([C])']
6,C=C(C)C#N,[4],[Li]<-N#CC(=C)C,['N([C])']
6,CC=CC=S,[4],[Li]<-S=CC=CC,['S([C])']
6,CC(C)(N)O,[4],[Li]<-OC(C)(C)N,['O([C])']
6,CO[C]C#N,[2],[Be]=C(C#N)OC,['C_carb([C])([O])']
6,CC(O)(O)O,[2],[Li]<-OC(C)(O)O,['O([C])']
6,CC(=O)C=N,[4],[Li]<-N=CC(C)=O,['N([C])']
6,O=C1CCN1,[4],[Li]<-N1CCC1=O,['N([C])([C])']
6,N#CC(S)S,[0],[Li]<-N#CC(S)S,['N([C])']
6,CP(C)C=O,[4],[Li]<-O=CP(C)C,['O([C])']
6,NCC(F)F,[0],[Li]<-NCC(F)F,['N([C])']
6,BOC(C)=O,[4],[Li]<-O=C(C)OB,['O([C])']
6,CC(C)(N)Cl,[3],[Li]<-NC(C)(C)Cl,['N([C])']
6,CC(C)=CS,[4],[Li]<-SC=C(C)C,['S([C])']
6,COC(=O)[O-],[3],[Li]<-O=C([O-])OC,['O([C])']
6,CC(=O)N[O-],[4],[Li]<-[O-]NC(C)=O,['O([N])']
6,[C]=NCCC,[0],[Be]=C=NCCC,['C_carb([N])']
6,CC(N)=C=S,[4],[Li]<-S=C=C(C)N,['S([C])']
6,N=CC(=O)O,[0],[Li]<-N=CC(=O)O,['N([C])']
6,CC(C)C=O,[4],[Li]<-O=CC(C)C,['O([C])']
6,COCC=O,[4],[Li]<-O=CCOC,['O([C])']
6,CCSCS,[2],[Li]<-S(CC)CS,['S([C])([C])']
6,C=CCC#N,[4],[Li]<-N#CCC=C,['N([C])']
6,[C]1CNCN1,[0],[Be]=C1CNCN1,['C_carb([C])([N])']
6,O[C]C1CC1,[1],[Be]=C(O)C1CC1,['C_carb([O])([C])']
6,C[C]OBO,[1],[Be]=C(C)OBO,['C_carb([C])([O])']
6,C#CC(C)=N,[4],[Li]<-N=C(C)C#C,['N([C])']
6,NC(N)([SeH])[SeH],[0],[Li]<-NC(N)([SeH])[SeH],['N([C])']
6,C#CC(N)=S,[4],[Li]<-S=C(N)C#C,['S([C])']
6,CCSC#N,[4],[Li]<-N#CSCC,['N([C])']
6,CSC(C)=N,[4],[Li]<-N=C(C)SC,['N([C])']
6,CC(=O)CO,[2],[Li]<-O=C(C)CO,['O([C])']
6,CC(C)(C)O,[4],[Li]<-OC(C)(C)C,['O([C])']
6,NCC(N)=O,[4],[Li]<-O=C(N)CN,['O([C])']
6,NCC1CC1,[0],[Li]<-NCC1CC1,['N([C])']
6,[C]NC(=C)C,[0],[Be]=CNC(=C)C,['C_carb([N])']
6,CN(C)[C]O,[3],[Be]=C(O)N(C)C,['C_carb([O])([N])']
6,S=C1NCS1,[0],[Li]<-S=C1NCS1,['S([C])']
6,CCC(C)=S,[4],[Li]<-S=C(C)CC,['S([C])']
6,CC(C)CS,[4],[Li]<-SCC(C)C,['S([C])']
6,CN=C(F)F,[1],[Li]<-N(C)=C(F)F,['N([C])([C])']
6,C=CCON,[4],[Li]<-NOCC=C,['N([O])']
6,CC(N)CCl,[2],[Li]<-NC(C)CCl,['N([C])']
6,CC(N)CI,[2],[Li]<-NC(C)CI,['N([C])']
6,CC(=O)C=O,[4],[Li]<-O=CC(C)=O,['O([C])']
7,NC1=CO[C]N1,[4],[Be]=C1NC(N)=CO1,['C_carb([N])([O])']
7,CC(=O)C(C)N,[5],[Li]<-NC(C)C(C)=O,['N([C])']
7,CCNC(C)O,[2],[Li]<-N(CC)C(C)O,['N([C])([C])']
7,Cc1c(C)c1=S,[5],[Li]<-S=c1c(C)c1C,['S([C])']
7,CC(C)OC#N,[5],[Li]<-N#COC(C)C,['N([C])']
7,CC(C)(N)C#N,[5],[Li]<-N#CC(C)(C)N,['N([C])']
7,CC1CCSC1,[4],[Li]<-S1CCC(C)C1,['S([C])([C])']
7,CC(C#N)C=N,[5],[Li]<-N=CC(C)C#N,['N([C])']
7,CO[C]N(C)C,[2],[Be]=C(OC)N(C)C,['C_carb([O])([N])']
7,CCSC(C)C,[2],[Li]<-S(CC)C(C)C,['S([C])([C])']
7,S=C1CCCO1,[0],[Li]<-S=C1CCCO1,['S([C])']
7,CC(C)(O)CN,[5],[Li]<-NCC(C)(C)O,['N([C])']
7,CSCC(C)=O,[1],[Li]<-S(C)CC(C)=O,['S([C])([C])']
7,C=C(C)C=NC,[4],[Li]<-N(C)=CC(=C)C,['N([C])([C])']
7,CS[C]N(C)C,[2],[Be]=C(SC)N(C)C,['C_carb([S])([N])']
7,CC[C]CCC,[2],[Be]=C(CC)CCC,['C_carb([C])([C])']
7,Cc1nccs1,[2],[Li]<-n1ccsc1C,['N([C])([C])']
7,CCOC(C)=S,[5],[Li]<-S=C(C)OCC,['S([C])']
7,Nc1c[nH]cn1,[5],[Li]<-n1c[nH]cc1N,['N([C])([C])']
7,CCSC(C)=N,[5],[Li]<-N=C(C)SCC,['N([C])']
7,C=C(C)N[C]C,[4],[Be]=C(C)NC(=C)C,['C_carb([C])([N])']
7,CC(C)NC=S,[5],[Li]<-S=CNC(C)C,['S([C])']
7,NCCC(=O)O,[0],[Li]<-NCCC(=O)O,['N([C])']
7,CC(O)=CC#N,[5],[Li]<-N#CC=C(C)O,['N([C])']
7,Nc1cncs1,[3],[Li]<-n1csc(N)c1,['N([C])([C])']
7,CCNC(C)F,[2],[Li]<-N(CC)C(C)F,['N([C])([C])']
7,CCNCCI,[2],[Li]<-N(CC)CCI,['N([C])([C])']
7,CN(C)CC=N,[5],[Li]<-N=CCN(C)C,['N([C])']
7,C[C]NCCO,[1],[Be]=C(C)NCCO,['C_carb([C])([N])']
7,CCNC(C)C,[2],[Li]<-N(CC)C(C)C,['N([C])([C])']
7,O=CC(F)(F)F,[0],[Li]<-O=CC(F)(F)F,['O([C])']
7,CC(C#N)C#N,[3],[Li]<-N#CC(C)C#N,['N([C])']
7,Nc1ccn[nH]1,[5],[Li]<-[nH]1nccc1N,['N([N])([C])']
7,C=C(CN)CO,[3],[Li]<-NCC(=C)CO,['N([C])']
7,CC1CCNC1,[4],[Li]<-N1CCC(C)C1,['N([C])([C])']
7,Nc1cnc[nH]1,[5],[Li]<-[nH]1cncc1N,['N([C])([C])']
7,C=C(N)C(=O)O,[4],[Li]<-O=C(O)C(=C)N,['O([C])']
7,CCNCCO,[2],[Li]<-N(CC)CCO,['N([C])([C])']
7,CC(N)CCO,[2],[Li]<-NC(C)CCO,['N([C])']
7,CN(C)C(N)=S,[5],[Li]<-S=C(N)N(C)C,['S([C])']
7,CCOCCN,[5],[Li]<-NCCOCC,['N([C])']
7,NC1CN=CN1,[5],[Li]<-N1C=NCC1N,['N([C])([C])']
7,NC(N)C(=O)O,[0],[Li]<-NC(N)C(=O)O,['N([C])']
7,CCSC(C)=S,[5],[Li]<-S=C(C)SCC,['S([C])']
7,CCSC(C)N,[5],[Li]<-NC(C)SCC,['N([C])']
7,COC(C)C=N,[5],[Li]<-N=CC(C)OC,['N([C])']
7,CC(C)N(C)C,[3],[Li]<-N(C)(C)C(C)C,['N([C])([C])([C])']
7,NCC(F)(F)F,[0],[Li]<-NCC(F)(F)F,['N([C])']
7,Cc1cnoc1,[3],[Li]<-n1cc(C)co1,['N([C])([O])']
7,CC(C)(C)C=N,[5],[Li]<-N=CC(C)(C)C,['N([C])']
7,CNP(C)NC,[2],[Li]<-P(C)(NC)NC,['P([C])([N])([N])']
7,[C]=CC(=O)OC,[0],[Be]=C=CC(=O)OC,['C_carb([C])']
7,CC(O)N(C)C,[3],[Li]<-N(C)(C)C(C)O,['N([C])([C])([C])']
7,CN=C(C)OC,[1],[Li]<-N(C)=C(C)OC,['N([C])([C])']
7,CC=C[C]NC,[3],[Be]=C(C=CC)NC,['C_carb([C])([N])']
7,CCO[C]NC,[3],[Be]=C(NC)OCC,['C_carb([N])([O])']
7,CC[C]OCC,[2],[Be]=C(CC)OCC,['C_carb([C])([O])']
7,Cc1cn[nH]c1,[4],[Li]<-[nH]1cc(C)cn1,['N([C])([N])']
7,BOC(=N)CC,[3],[Li]<-N=C(CC)OB,['N([C])']
7,COC(=O)C=N,[5],[Li]<-N=CC(=O)OC,['N([C])']
7,Ic1cc[nH]n1,[5],[Li]<-n1[nH]ccc1I,['N([N])([C])']
7,CCC(C)CO,[5],[Li]<-OCC(C)CC,['O([C])']
7,CC(=S)N(C)C,[2],[Li]<-S=C(C)N(C)C,['S([C])']
7,C=CCCSC,[4],[Li]<-S(C)CCC=C,['S([C])([C])']
7,Nc1ncn[nH]1,[5],[Li]<-[nH]1ncnc1N,['N([N])([C])']
7,CN1[C]SC=C1,[2],[Be]=C1SC=CN1C,['C_carb([S])([N])']
7,CN=CN(C)C,[1],[Li]<-N(C)=CN(C)C,['N([C])([C])']
7,C=C(C)C(N)=S,[5],[Li]<-S=C(N)C(=C)C,['S([C])']
7,CC(CN)CI,[3],[Li]<-NCC(C)CI,['N([C])']
7,NCC=C=[N+]=O,[0],[Li]<-NCC=C=[N+]=O,['N([C])']
7,C=C(C)[C]OC,[3],[Be]=C(OC)C(=C)C,['C_carb([O])([C])']
7,CC(C)(O)C=N,[5],[Li]<-N=CC(C)(C)O,['N([C])']
7,CCNC(C)=S,[5],[Li]<-S=C(C)NCC,['S([C])']
7,Cn1cnnn1,[4],[Li]<-n1ncn(C)n1,['N([N])([N])']
7,CN(C)[C]C#N,[3],[Be]=C(C#N)N(C)C,['C_carb([C])([N])']
7,CC(C)(C)CN,[5],[Li]<-NCC(C)(C)C,['N([C])']
7,Cc1nnn[nH]1,[5],[Li]<-[nH]1nnnc1C,['N([N])([C])']
7,[C]=NC(C)(C)C,[0],[Be]=C=NC(C)(C)C,['C_carb([N])']
7,CCOC(=O)[O-],[4],[Li]<-O=C([O-])OCC,['O([C])']
7,CC(C)C1CN1,[5],[Li]<-N1CC1C(C)C,['N([C])([C])']
7,CCC(=N)ON,[3],[Li]<-N=C(CC)ON,['N([C])']
7,CC(=O)C([O-])=S,[5],[Li]<-S=C([O-])C(C)=O,['S([C])']
7,CCN(C)P=N,[2],[Li]<-N(C)(CC)P=N,['N([C])([C])([P])']
7,C[C]NC(C)=O,[1],[Be]=C(C)NC(C)=O,['C_carb([C])([N])']
7,C=C(C)CCN,[5],[Li]<-NCCC(=C)C,['N([C])']
7,CN[C]N(C)C,[2],[Be]=C(NC)N(C)C,['C_carb([N])([N])']
7,C=C(C)NCC,[3],[Li]<-N(CC)C(=C)C,['N([C])([C])']
7,CC1=CN[C]S1,[4],[Be]=C1NC=C(C)S1,['C_carb([N])([S])']
7,CC(C)(C)CO,[5],[Li]<-OCC(C)(C)C,['O([C])']
7,Cc1nc[nH]n1,[2],[Li]<-n1c[nH]nc1C,['N([C])([C])']
7,CC1C(C)P1Cl,[4],[Li]<-P1(Cl)C(C)C1C,['P([Cl])([C])([C])']
7,CCNC(N)=S,[5],[Li]<-S=C(N)NCC,['S([C])']
7,CP=CN(C)C,[1],[Li]<-P(C)=CN(C)C,['P([C])([C])']
7,CC1=CO[C]N1,[4],[Be]=C1NC(C)=CO1,['C_carb([N])([O])']
7,CC[PH](=S)CC,[3],[Li]<-S=[PH](CC)CC,['S([P])']
7,CCC(C)CP,[5],[Li]<-PCC(C)CC,['P([C])']
7,CCC(=S)OC,[3],[Li]<-S=C(CC)OC,['S([C])']
7,On1ccnc1,[4],[Li]<-n1ccn(O)c1,['N([C])([C])']
7,CN=CC(=O)O,[4],[Li]<-O=C(O)C=NC,['O([C])']
7,COC(C)(O)O,[1],[Li]<-O(C)C(C)(O)O,['O([C])([C])']
7,C=C(C)[C]NC,[3],[Be]=C(NC)C(=C)C,['C_carb([N])([C])']
7,Cc1ccsc1,[4],[Li]<-s1ccc(C)c1,['S([C])([C])']
7,COSC(C)C,[2],[Li]<-S(OC)C(C)C,['S([O])([C])']
7,C=CC(=N)OC,[3],[Li]<-N=C(C=C)OC,['N([C])']
7,CN1[C]OC=C1,[2],[Be]=C1OC=CN1C,['C_carb([O])([N])']
7,CC=NN=CC,[2],[Li]<-N(=CC)N=CC,['N([C])([N])']
7,CNC(C)C=O,[5],[Li]<-O=CC(C)NC,['O([C])']
7,CC(C)(C)C=S,[5],[Li]<-S=CC(C)(C)C,['S([C])']
7,CC(=O)CC#N,[5],[Li]<-N#CCC(C)=O,['N([C])']
7,Nc1cnoc1,[3],[Li]<-n1cc(N)co1,['N([C])([O])']
7,CNCC(=O)O,[1],[Li]<-N(C)CC(=O)O,['N([C])([C])']
7,CP(C)N=CN,[1],[Li]<-P(C)(C)N=CN,['P([C])([C])([N])']
7,CCN=C(C)C,[2],[Li]<-N(CC)=C(C)C,['N([C])([C])']
7,CN1[C]NC=C1,[2],[Be]=C1NC=CN1C,['C_carb([N])([N])']
7,CC(C)C(=O)[O-],[5],[Li]<-[O-]C(=O)C(C)C,['O([C])']
7,C=C(C=O)CO,[3],[Li]<-O=CC(=C)CO,['O([C])']
7,C=C(O)C(=O)[O-],[4],[Li]<-O=C([O-])C(=C)O,['O([C])']
7,[C]1C=CC=CN1,[0],[Be]=C1C=CC=CN1,['C_carb([C])([N])']
7,CC(C)N[C]O,[4],[Be]=C(O)NC(C)C,['C_carb([O])([N])']
7,Nc1ncc[nH]1,[2],[Li]<-n1cc[nH]c1N,['N([C])([C])']
7,C[C]NC(C)O,[1],[Be]=C(C)NC(C)O,['C_carb([C])([N])']
7,C[C]NCOC,[1],[Be]=C(C)NCOC,['C_carb([C])([N])']
7,CNC(=S)OC,[3],[Li]<-S=C(NC)OC,['S([C])']
7,CCOC(N)=S,[5],[Li]<-S=C(N)OCC,['S([C])']
7,CC(C)(N)B=O,[5],[Li]<-O=BC(C)(C)N,['O([B])']
7,NC(=S)CCO,[2],[Li]<-S=C(N)CCO,['S([C])']
7,CNC(C)(O)O,[1],[Li]<-N(C)C(C)(O)O,['N([C])([C])']
7,CC(C)CNO,[4],[Li]<-N(O)CC(C)C,['N([O])([C])']
7,CC(=O)NCO,[2],[Li]<-O=C(C)NCO,['O([C])']
7,CNC(C)CN,[5],[Li]<-NCC(C)NC,['N([C])']
7,Brc1nnco1,[2],[Li]<-n1ncoc1Br,['N([N])([C])']
7,Cc1cocn1,[5],[Li]<-n1cocc1C,['N([C])([C])']
7,CNC(C)(C)C,[1],[Li]<-N(C)C(C)(C)C,['N([C])([C])']
7,CCC(=N)CC,[3],[Li]<-N=C(CC)CC,['N([C])']
7,CC(N)S(C)=O,[3],[Li]<-S(C)(=O)C(C)N,['S([C])([O])([C])']
7,CC(=O)NC=S,[5],[Li]<-S=CNC(C)=O,['S([C])']
7,IC1[C]CCO1,[2],[Be]=C1CCOC1I,['C_carb([C])([C])']
7,CC1C(C)P1C,[4],[Li]<-P1(C)C(C)C1C,['P([C])([C])([C])']
7,CN=CCOC,[1],[Li]<-N(C)=CCOC,['N([C])([C])']
7,CP1CCOC1,[1],[Li]<-P1(C)CCOC1,['P([C])([C])([C])']
7,CO[C]C(C)C,[2],[Be]=C(OC)C(C)C,['C_carb([O])([C])']
7,S=c1ccss1,[0],[Li]<-S=c1ccss1,['S([C])']
7,CNC(=O)CN,[5],[Li]<-NCC(=O)NC,['N([C])']
7,CCC(C)(C)N,[5],[Li]<-NC(C)(C)CC,['N([C])']
