Atom count,Canonical SMILES,Connection IDs,Enriched SMILES,Coordination environment
15,CC(O)(C=N)C=N,"[4, 6]",CC1(O)C=N->[Ir]<-N=C1,"['N([C])', 'N([C])']"
15,NC1CCNC1=O,"[0, 6]",C1CC2N->[Ir]<-O=C2N1,"['N([C])', 'O([C])']"
15,CC(=O)C(C)C=O,"[2, 6]",CC1=O->[Ir]<-O=CC1C,"['O([C])', 'O([C])']"
15,P=Nc1cnccc1P,"[1, 8]",P=N1->[Ir]<-Pc2ccncc21,"['N([P])([C])', 'P([C])']"
15,O=NCc1ccccn1,"[1, 8]",O=N1->[Ir]<-n2ccccc2C1,"['N([C])([C])', 'N([O])([C])']"
15,O=C(F)C1=NC(F)CC(F)=C1,"[0, 4]",FC1=CC2=N(->[Ir]<-O=C2F)C(F)C1,"['N([C])([C])', 'O([C])']"
15,N=C(O)c1ncc(N)[nH]1,"[0, 8]",Nc1cnc2[nH]1->[Ir]<-N=C2O,"['N([C])', 'N([C])([C])']"
15,N=C(S)c1ccccn1,"[0, 8]",SC1=N->[Ir]<-n2ccccc21,"['N([C])', 'N([C])([C])']"
15,CN=C(C)C=NO,"[1, 5]",CC1=N(C)->[Ir]<-N(O)=C1,"['N([C])([C])', 'N([O])([C])']"
15,C[S+]([O-])C(S)CS,"[1, 6]",C[S+]1([O-])->[Ir]<-SCC1S,"['S([C])', 'S([C])([O])([C])']"
15,C=C(C=N)C(C)=N,"[3, 6]",C=C1C=N->[Ir]<-N=C1C,"['N([C])', 'N([C])']"
15,Nc1cccc(N)n1,"[6, 7]",Nc1cccc2n1->[Ir]<-N2,"['N([C])', 'N([C])([C])']"
15,NC(N)C(N)[SeH],"[2, 4]",NC1N->[Ir]<-NC1[SeH],"['N([C])', 'N([C])']"
15,[C]NC1(CN)CN1,"[0, 3]",[Be]1->[Ir]<-NCC2(CN2)NC=1,"['Be([C])', 'N([C])']"
15,O=C(F)C1=NCC(F)C=C1Cl,"[0, 4]",FC1=O->[Ir]<-N2=C1C(Cl)=CC(F)C2,"['N([C])([C])', 'O([C])']"
15,C#CC(=O)c1ccccn1,"[3, 9]",C#CC1=O->[Ir]<-n2ccccc21,"['N([C])([C])', 'O([C])']"
15,CCC(=NO)ON,"[3, 6]",CCC1=N(O)->[Ir]<-NO1,"['N([C])([O])', 'N([O])']"
15,SC(S)c1ncccn1,"[2, 4]",SC1S->[Ir]<-n2cccnc21,"['N([C])([C])', 'S([C])']"
15,CC(=N)c1ncc[nH]1,"[2, 4]",CC1=N->[Ir]<-n2cc[nH]c21,"['N([C])', 'N([C])([C])']"
15,N=Nc1cccc(C(=O)Cl)n1,"[0, 10]",O=C(Cl)c1cccc2n1->[Ir]<-N=N2,"['N([C])([C])', 'N([N])']"
15,CC(CC=N)=NO,"[4, 5]",CC1=N(O)->[Ir]<-N=CC1,"['N([C])', 'N([C])([O])']"
15,Nc1nc(C=NO)c[nH]1,"[2, 5]",Nc1[nH]cc2n1->[Ir]<-N(O)=C2,"['N([C])([C])', 'N([O])([C])']"
15,CCNC(=O)C=N,"[2, 6]",CCN1->[Ir]<-N=CC1=O,"['N([C])', 'N([C])([C])']"
15,N#CC(=O)C1=[N+]=NC(=O)CC1,"[3, 5]",N#CC1=O->[Ir]<-[N+]2=NC(=O)CCC=21,"['N([N])([C])', 'O([C])']"
15,CNC(=O)NC(=S)C=S,"[6, 8]",CNC(=O)NC1=S->[Ir]<-S=C1,"['S([C])', 'S([C])']"
15,CSC=C(C)N,"[1, 5]",CC1=CS(C)->[Ir]<-N1,"['N([C])', 'S([C])([C])']"
15,[O-][NH+]=Cc1ccccn1,"[0, 8]",C1=[NH+][O-]->[Ir]<-n2ccccc21,"['N([C])([C])', 'O([N])']"
16,SC(S)c1ccccn1,"[2, 8]",SC1S->[Ir]<-n2ccccc21,"['N([C])([C])', 'S([C])']"
16,N=Nc1cc(C(=O)O)ccn1,"[0, 10]",O=C(O)c1ccn2->[Ir]<-N=Nc2c1,"['N([C])([C])', 'N([N])']"
16,O=C1C=NN(NC=S)CN1,"[4, 7]",O=C1C=NN2(->[Ir]<-S=CN2)CN1,"['N([N])([C])([N])', 'S([C])']"
16,CN(C)C(=[NH2+])C(=S)[S-],"[6, 7]",CN(C)C(=[NH2+])C1=S->[Ir]<-[S-]1,"['S([C])', 'S([C])']"
16,NCC(N)NC=O,"[0, 5]",NC1CN->[Ir]<-[H]C(=O)N1,"['H([C])', 'N([C])']"
16,O=C1C=NNCN1NC=S,"[6, 9]",O=C1C=NNCN12->[Ir]<-S=CN2,"['N([C])([C])([N])', 'S([C])']"
16,[SeH]C([SeH])C1CC1([SeH])[SeH],"[2, 6]",[SeH]C1[SeH]->[Ir]<-[SeH]C2([SeH])CC12,"['Se([C])', 'Se([C])']"
16,Cc1cccnc1C=O,"[5, 8]",Cc1cccn2->[Ir]<-O=Cc12,"['N([C])([C])', 'O([C])']"
16,NN=Cc1ccccn1,"[1, 8]",NN1->[Ir]<-n2ccccc2C=1,"['N([C])([C])', 'N([N])([C])']"
16,CN=Nc1cccc(F)n1,"[1, 9]",CN1->[Ir]<-n2c(F)cccc2N=1,"['N([C])([C])', 'N([C])([N])']"
16,CN(C)C(O)C=O,"[1, 6]",CN1(C)->[Ir]<-O=CC1O,"['N([C])([C])([C])', 'O([C])']"
16,CN=NC(C#N)=NNC,"[1, 6]",CNN1->[Ir]<-N(C)=NC=1C#N,"['N([C])([N])', 'N([N])([C])']"
16,N=Nc1cccc(C(=O)O)n1,"[0, 10]",O=C(O)c1cccc2n1->[Ir]<-N=N2,"['N([C])([C])', 'N([N])']"
16,Nc1cnccc1SC=O,"[0, 7]",O=CS1->[Ir]<-Nc2cnccc21,"['N([C])', 'S([C])([C])']"
16,SC(S)Nn1cccn1,"[2, 4]",SC1Nn2(->[Ir]<-S1)cccn2,"['N([N])([C])([N])', 'S([C])']"
16,S[C]C1=CC=CNC1S,"[1, 8]",SC1=[Be]->[Ir]<-SC2NC=CC=C12,"['Be([C])', 'S([C])']"
16,FC(F)(F)SCCSC(F)(F)F,"[4, 7]",FC(F)(F)S1->[Ir]<-S(C(F)(F)F)CC1,"['S([C])([C])', 'S([C])([C])']"
16,Nc1cnccc1NO,"[0, 7]",ON1->[Ir]<-Nc2cnccc21,"['N([C])', 'N([O])([C])']"
16,CN1C(=S)C(=S)NC1N,"[3, 5]",CN1C2=S->[Ir]<-S=C2NC1N,"['S([C])', 'S([C])']"
16,OCc1cc(O)ccn1,"[0, 8]",Oc1ccn2->[Ir]<-OCc2c1,"['N([C])([C])', 'O([C])']"
16,CC(=N)C1=C(P)OPO1,"[2, 5]",CC1=N->[Ir]<-PC2=C1OPO2,"['N([C])', 'P([C])']"
16,CN=Nc1c[nH]c(N)n1,"[1, 8]",CN1->[Ir]<-n2c(c[nH]c2N)N=1,"['N([C])([C])', 'N([C])([N])']"
16,Cc1ccc(C=O)nc1,"[6, 7]",Cc1ccc2n(->[Ir]<-O=C2)c1,"['N([C])([C])', 'O([C])']"
16,COC(=CO)OCO,"[4, 5]",COC1=CO->[Ir]<-O1CO,"['O([C])', 'O([C])([C])']"
16,Cc1ccnc(C=O)c1,"[4, 7]",Cc1ccn2->[Ir]<-O=Cc2c1,"['N([C])([C])', 'O([C])']"
16,N=Nc1cc(C(F)(F)F)ccn1,"[0, 11]",FC(F)(F)c1ccn2->[Ir]<-N=Nc2c1,"['N([C])([C])', 'N([N])']"
16,O=C(O)SCCSC(=O)O,"[3, 6]",O=C(O)S1->[Ir]<-S(C(=O)O)CC1,"['S([C])([C])', 'S([C])([C])']"
16,CN(C)C(=N)C=N,"[1, 6]",CN1(C)->[Ir]<-N=CC1=N,"['N([C])', 'N([C])([C])([C])']"
16,Cn1c(N)cnc1N=N,"[1, 8]",Cn12->[Ir]<-N=Nc1ncc2N,"['N([C])([C])([C])', 'N([N])']"
16,NCc1cc(Br)ccn1,"[0, 8]",Brc1ccn2->[Ir]<-NCc2c1,"['N([C])', 'N([C])([C])']"
16,NCc1cc(Cl)ccn1,"[0, 8]",Clc1ccn2->[Ir]<-NCc2c1,"['N([C])', 'N([C])([C])']"
16,Nc1cc[nH]c1NP,"[4, 7]",Nc1cc[nH]2->[Ir]<-PNc12,"['N([C])([C])', 'P([N])']"
16,NC(N)C(N)N,"[2, 4]",NC1N->[Ir]<-NC1N,"['N([C])', 'N([C])']"
16,CN1C(=O)N(C)C(=S)C1=S,"[7, 9]",Cn1c2c(n(C)c1=O)=S->[Ir]<-S=2,"['S([C])', 'S([C])']"
16,NCCn1cpcn1,"[0, 3]",c1nn2(->[Ir]<-NCC2)cp1,"['N([C])', 'N([N])([C])([C])']"
16,CN(C)CC=N,"[1, 5]",CN1(C)->[Ir]<-N=CC1,"['N([C])', 'N([C])([C])([C])']"
16,[SeH]CC1([SeH])CC1([SeH])[SeH],"[0, 6]",[SeH]C12C[SeH]->[Ir]<-[SeH]C1([SeH])C2,"['Se([C])', 'Se([C])']"
16,N=C(P)c1ccccn1,"[0, 8]",PC1=N->[Ir]<-n2ccccc21,"['N([C])', 'N([C])([C])']"
16,CSCc1ccn[nH]1,"[1, 7]",CS1->[Ir]<-[nH]2nccc2C1,"['N([N])([C])', 'S([C])([C])']"
16,Cc1ccnc(N=N)c1,"[4, 7]",Cc1ccn2->[Ir]<-N=Nc2c1,"['N([C])([C])', 'N([N])']"
16,C[Si](C)=NC(=N)N,"[3, 5]",C[Si](C)=N1->[Ir]<-N=C1N,"['N([C])', 'N([Si])([C])']"
16,Nc1cccc(Br)c1N,"[0, 8]",Brc1cccc2c1N->[Ir]<-N2,"['N([C])', 'N([C])']"
16,[C]CC(=N)N(C)C,"[0, 4]",CN1(C)->[Ir]<-[Be]=CCC1=N,"['Be([C])', 'N([C])([C])([C])']"
16,N=Nc1ncccc1C(F)(F)F,"[0, 3]",FC(F)(F)c1cccn2->[Ir]<-N=Nc12,"['N([C])([C])', 'N([N])']"
16,C1=NCNC1=C1N=CC=N1,"[3, 6]",C1=NCN2->[Ir]<-N3=CC=NC3=C12,"['N([C])([C])', 'N([C])([C])']"
16,POc1cccc(Br)c1S,"[0, 9]",Brc1cccc2c1S->[Ir]<-PO2,"['P([O])', 'S([C])']"
16,CC(N)(C=N)C=N,"[4, 6]",CC1(N)C=N->[Ir]<-N=C1,"['N([C])', 'N([C])']"
16,[C]C(=N)CN(C)C,"[0, 4]",CN1(C)->[Ir]<-[Be]=CC(=N)C1,"['Be([C])', 'N([C])([C])([C])']"
16,Nc1c[nH]c(NP)c1,"[3, 6]",Nc1cc2[nH](->[Ir]<-PN2)c1,"['N([C])([C])', 'P([N])']"
16,CP(C)C=CN,"[1, 5]",CP1(C)->[Ir]<-NC=C1,"['N([C])', 'P([C])([C])([C])']"
17,CC=C(C=NO)OC,"[4, 6]",CC=C1C=N(O)->[Ir]<-O1C,"['N([C])([O])', 'O([C])([C])']"
17,C=C(N=C(C)C)ON=O,"[2, 7]",C=C1ON(=O)->[Ir]<-N1=C(C)C,"['N([C])([C])', 'N([O])([O])']"
17,CSC(C)=C(N)N,"[1, 6]",CC1=C(N)N->[Ir]<-S1C,"['N([C])', 'S([C])([C])']"
17,CN=C(C)C(C)=N,"[1, 6]",CC1=N->[Ir]<-N(C)=C1C,"['N([C])', 'N([C])([C])']"
17,CC(=N)ON(C)C,"[2, 4]",CC1=N->[Ir]<-N(C)(C)O1,"['N([C])', 'N([C])([C])([O])']"
17,Cc1ccc(S)c(S)c1,"[5, 7]",Cc1ccc2c(c1)S->[Ir]<-S2,"['S([C])', 'S([C])']"
17,[C]C1(S)C=CNCC1S,"[0, 8]",SC12C=[Be]->[Ir]<-SC1CNC=C2,"['Be([C])', 'S([C])']"
17,CC(C)(C=N)C=N,"[4, 6]",CC1(C)C=N->[Ir]<-N=C1,"['N([C])', 'N([C])']"
17,CSC(C(S)S)C(F)(F)F,"[1, 4]",CS1->[Ir]<-SC(S)C1C(F)(F)F,"['S([C])', 'S([C])([C])']"
17,NC1(N)CNCC1=O,"[2, 7]",NC12CNCC1=O->[Ir]<-N2,"['N([C])', 'O([C])']"
17,CC1=CC(=N)C(=N)C=C1,"[4, 6]",Cc1ccc2c(c1)=N->[Ir]<-N=2,"['N([C])', 'N([C])']"
17,CSC(=O)c1ccccn1,"[3, 9]",CSC1=O->[Ir]<-n2ccccc21,"['N([C])([C])', 'O([C])']"
17,ONCc1ccccn1,"[1, 8]",ON1->[Ir]<-n2ccccc2C1,"['N([C])([C])', 'N([O])([C])']"
17,CSC(N)=C(C#N)SC,"[1, 7]",CS1->[Ir]<-S(C)C(C#N)=C1N,"['S([C])([C])', 'S([C])([C])']"
17,O=CC1(C=O)CC=CC=N1,"[0, 4]",C1=CCC2(C=O->[Ir]<-O=C2)N=C1,"['O([C])', 'O([C])']"
17,CCSCC(S)S,"[2, 5]",CCS1->[Ir]<-SC(S)C1,"['S([C])', 'S([C])([C])']"
17,COc1cccc(N=N)n1,"[8, 9]",COc1cccc2n1->[Ir]<-N=N2,"['N([C])([C])', 'N([N])']"
17,C=NC=C1C=CC=C(Cl)C1=O,"[1, 10]",C=N1->[Ir]<-O=c2c(Cl)cccc2=C1,"['N([C])([C])', 'O([C])']"
17,CC(C)(O)CN,"[3, 5]",CC1(C)CN->[Ir]<-O1,"['N([C])', 'O([C])']"
17,CC(=N)C(C)C=N,"[2, 6]",CC1=N->[Ir]<-N=CC1C,"['N([C])', 'N([C])']"
17,[C]C1(S)CNC=CC1S,"[0, 8]",SC12C=[Be]->[Ir]<-SC1C=CNC2,"['Be([C])', 'S([C])']"
17,Oc1ccc(OP)c(S)c1,"[6, 8]",Oc1ccc2c(c1)S->[Ir]<-PO2,"['P([O])', 'S([C])']"
17,Cn1nnc(-n2ccnc2)n1,"[3, 5]",Cn1nc2n(->[Ir]<-n-23ccnc3)n1,"['N([C])([C])([C])', 'N([C])([N])']"
17,CN=Cc1cc(Br)ccn1,"[1, 9]",CN1->[Ir]<-n2ccc(Br)cc2C=1,"['N([C])([C])', 'N([C])([C])']"
17,CN=CC(C)=NC,"[1, 5]",CC1=N(C)->[Ir]<-N(C)=C1,"['N([C])([C])', 'N([C])([C])']"
17,CNCCSC,"[1, 4]",CN1->[Ir]<-S(C)CC1,"['N([C])([C])', 'S([C])([C])']"
17,Nc1ncc(C(N)O)[nH]1,"[6, 8]",Nc1ncc2[nH]1->[Ir]<-NC2O,"['N([C])', 'N([C])([C])']"
17,NC([SeH])c1ccccn1,"[0, 8]",[SeH]C1N->[Ir]<-n2ccccc21,"['N([C])', 'N([C])([C])']"
17,CNC(C=S)=[SH]CS,"[4, 5]",CNC1=[SH](CS)->[Ir]<-S=C1,"['S([C])', 'S([C])([C])']"
17,Cc1cncnc1NP,"[5, 8]",Cc1cncn2->[Ir]<-PNc12,"['N([C])([C])', 'P([N])']"
17,Cn1cccc1NP,"[1, 7]",Cn12->[Ir]<-PNc1ccc2,"['N([C])([C])([C])', 'P([N])']"
17,CCN(C)NC=S,"[2, 6]",CCN1(C)->[Ir]<-S=CN1,"['N([C])([C])([N])', 'S([C])']"
17,NC(S)c1ccccn1,"[0, 8]",SC1N->[Ir]<-n2ccccc21,"['N([C])', 'N([C])([C])']"
17,[C]NC1(N)N=CN(C)C1=O,"[0, 3]",CN1C=NC2(NC=[Be]->[Ir]<-N2)C1=O,"['Be([C])', 'N([C])']"
17,O=Cc1cccc(CO)n1,"[0, 9]",OCc1cccc2n1->[Ir]<-O=C2,"['N([C])([C])', 'O([C])']"
17,CC1=CC=CC(=N)C1=N,"[6, 8]",Cc1cccc2c1=N->[Ir]<-N=2,"['N([C])', 'N([C])']"
17,CC(=N)c1ccccn1,"[2, 8]",CC1=N->[Ir]<-n2ccccc21,"['N([C])', 'N([C])([C])']"
17,NC(=NO)c1ccccn1,"[0, 9]",ON=C1N->[Ir]<-n2ccccc21,"['N([C])', 'N([C])([C])']"
17,N=Cc1ccccc1N,"[0, 8]",C1=N->[Ir]<-Nc2ccccc21,"['N([C])', 'N([C])']"
17,Cc1cccnc1C(=O)O,"[5, 8]",Cc1cccn2->[Ir]<-O=C(O)c12,"['N([C])([C])', 'O([C])']"
17,c1ccc(-c2cscn2)nc1,"[8, 9]",c1ccn2->[Ir]<-n3cscc3-c2c1,"['N([C])([C])', 'N([C])([C])']"
17,CC(C)=NC(=N)C=N,"[5, 7]",CC(C)=NC1=N->[Ir]<-N=C1,"['N([C])', 'N([C])']"
17,CON=Cc1ncc(N)s1,"[2, 5]",CON1->[Ir]<-n2cc(N)sc2C=1,"['N([C])([C])', 'N([O])([C])']"
17,N=CC1(N)C=CCC1=O,"[0, 3]",O=C1CC=CC12C=N->[Ir]<-N2,"['N([C])', 'N([C])']"
17,Cc1ccc(C(=O)O)nc1,"[6, 8]",Cc1ccc2n(->[Ir]<-O=C2O)c1,"['N([C])([C])', 'O([C])']"
17,CC(C)(N)C=NO,"[3, 5]",CC1(C)C=N(O)->[Ir]<-N1,"['N([C])', 'N([C])([O])']"
17,[C]C1C=CNCC1(S)S,"[0, 8]",SC12CNC=CC1C=[Be]->[Ir]<-S2,"['Be([C])', 'S([C])']"
17,C#CCNCCN,"[3, 6]",C#CCN1->[Ir]<-NCC1,"['N([C])', 'N([C])([C])']"
17,c1ccc(-c2nnc[nH]2)nc1,"[8, 9]",c1ccn2->[Ir]<-[nH]3cnnc3-c2c1,"['N([C])([C])', 'N([C])([C])']"
17,CC(N)(O)NNC=S,"[4, 7]",CC(N)(O)N1->[Ir]<-S=CN1,"['N([C])([N])', 'S([C])']"
17,CC1NC=NN1NC=S,"[5, 8]",CC1NC=NN12->[Ir]<-S=CN2,"['N([N])([C])([N])', 'S([C])']"
17,Cc1cc(C)n(C(=S)Cl)n1,"[7, 9]",Cc1cc(C)n2->[Ir]<-S=C(Cl)n12,"['N([C])([N])', 'S([C])']"
17,Nc1cnccc1SC(F)(F)F,"[0, 7]",FC(F)(F)S1->[Ir]<-Nc2cnccc21,"['N([C])', 'S([C])([C])']"
17,O=C(O)CNCC=NO,"[4, 7]",O=C(O)CN1->[Ir]<-N(O)=CC1,"['N([C])([C])', 'N([O])([C])']"
17,CNc1ncccc1O,"[1, 8]",CN1->[Ir]<-Oc2cccnc21,"['N([C])([C])', 'O([C])']"
17,CNCCOC,"[1, 4]",CN1->[Ir]<-O(C)CC1,"['N([C])([C])', 'O([C])([C])']"
17,Nc1cccc(O)c1N,"[0, 8]",Oc1cccc2c1N->[Ir]<-N2,"['N([C])', 'N([C])']"
17,CN=C(NC=N)OC,"[1, 5]",COC1=N(C)->[Ir]<-N=CN1,"['N([C])', 'N([C])([C])']"
17,O=C(CO)c1ccccn1,"[0, 9]",OCC1=O->[Ir]<-n2ccccc21,"['N([C])([C])', 'O([C])']"
17,CCNC(O)C=N,"[2, 6]",CCN1->[Ir]<-N=CC1O,"['N([C])', 'N([C])([C])']"
17,CC(=NN)C(=O)C(=N)N,"[2, 7]",CC1=N(N)->[Ir]<-N=C(N)C1=O,"['N([C])', 'N([C])([N])']"
17,[C]C1(S)NCC=CC1S,"[0, 8]",SC12C=[Be]->[Ir]<-SC1C=CCN2,"['Be([C])', 'S([C])']"
17,CN=Cc1ccccn1,"[1, 8]",CN1->[Ir]<-n2ccccc2C=1,"['N([C])([C])', 'N([C])([C])']"
17,Cc1nc(-c2nccs2)cs1,"[2, 5]",Cc1scc2n1->[Ir]<-n1ccsc1-2,"['N([C])([C])', 'N([C])([C])']"
17,c1cnc(-c2cc[nH]n2)nc1,"[8, 9]",c1cnc2n(->[Ir]<-n3[nH]ccc3-2)c1,"['N([C])([C])', 'N([N])([C])']"
17,c1cnc(-c2ccn[nH]2)nc1,"[8, 9]",c1cnc2n(->[Ir]<-[nH]3nccc3-2)c1,"['N([C])([C])', 'N([N])([C])']"
17,O=[SH](=O)C=Nc1ccccn1,"[4, 10]",O=[SH](=O)C=N1->[Ir]<-n2ccccc21,"['N([C])([C])', 'N([C])([C])']"
17,CSC(=S)c1nc(C)c([O-])s1,"[3, 5]",CSC1=S->[Ir]<-n2c1sc([O-])c2C,"['N([C])([C])', 'S([C])']"
