Ligand ID,Heavy atom count,Canonical SMILES,Connection IDs,Enriched SMILES,Coordination environment
uncond_mono-min15k-106,6,CCNCCl,[2],[Li]<-N(CC)CCl,['N([C])([C])']
uncond_mono-min15k-107,6,CN=C(C)C,[1],[Li]<-N(C)=C(C)C,['N([C])([C])']
uncond_mono-min15k-108,6,c1nnn[nH]1,[4],[Li]<-[nH]1cnnn1,['N([C])([N])']
uncond_mono-min15k-109,6,CCCSC,[3],[Li]<-S(C)CCC,['S([C])([C])']
uncond_mono-min15k-110,6,CC(N)C=O,[4],[Li]<-O=CC(C)N,['O([C])']
uncond_mono-min15k-111,6,CC(=O)CN,[4],[Li]<-NCC(C)=O,['N([C])']
uncond_mono-min15k-112,6,CSC(C)C,[1],[Li]<-S(C)C(C)C,['S([C])([C])']
uncond_mono-min15k-113,6,CC[SH](C)C,[2],[Li]<-[SH](C)(C)CC,['S([C])([C])([C])']
uncond_mono-min15k-114,6,C=C(C)NC,[3],[Li]<-N(C)C(=C)C,['N([C])([C])']
uncond_mono-min15k-115,6,CCC(N)=S,[4],[Li]<-S=C(N)CC,['S([C])']
uncond_mono-min15k-116,6,CO[C]OC,[2],[Be]=C(OC)OC,['C_carb([O])([O])']
uncond_mono-min15k-117,6,CC(N)CO,[2],[Li]<-NC(C)CO,['N([C])']
uncond_mono-min15k-118,6,CNC(C)O,[1],[Li]<-N(C)C(C)O,['N([C])([C])']
uncond_mono-min15k-119,6,CC(=O)NN,[2],[Li]<-O=C(C)NN,['O([C])']
uncond_mono-min15k-120,6,CP1C2CC21,[1],[Li]<-P1(C)C2CC21,['P([C])([C])([C])']
uncond_mono-min15k-121,6,CN(C)C=N,[4],[Li]<-N=CN(C)C,['N([C])']
uncond_mono-min15k-122,6,CCC(C)O,[4],[Li]<-OC(C)CC,['O([C])']
uncond_mono-min15k-123,6,CC(C)=C=O,[4],[Li]<-O=C=C(C)C,['O([C])']
uncond_mono-min15k-124,6,CC(C)C=N,[4],[Li]<-N=CC(C)C,['N([C])']
uncond_mono-min15k-125,6,CCC=NC,[3],[Li]<-N(C)=CCC,['N([C])([C])']
uncond_mono-min15k-126,6,CCC[SH]=O,[3],[Li]<-[SH](=O)CCC,['S([O])([C])']
uncond_mono-min15k-127,6,CS[C]NN,[2],[Be]=C(NN)SC,['C_carb([N])([S])']
uncond_mono-min15k-128,6,O=C1CSC1,[3],[Li]<-S1CC(=O)C1,['S([C])([C])']
uncond_mono-min15k-129,6,CCO[C]N,[3],[Be]=C(N)OCC,['C_carb([N])([O])']
uncond_mono-min15k-130,6,COC[C]N,[3],[Be]=C(N)COC,['C_carb([N])([C])']
uncond_mono-min15k-131,6,CCCON,[4],[Li]<-NOCCC,['N([O])']
uncond_mono-min15k-132,6,C1=NCCN1,[4],[Li]<-N1C=NCC1,['N([C])([C])']
uncond_mono-min15k-133,6,CN=[Si](C)C,[1],[Li]<-N(C)=[Si](C)C,['N([C])([Si])']
uncond_mono-min15k-134,6,C=CC(N)=O,[4],[Li]<-O=C(N)C=C,['O([C])']
uncond_mono-min15k-135,6,CC(=S)NN,[2],[Li]<-S=C(C)NN,['S([C])']
uncond_mono-min15k-136,6,CN(C)CO,[1],[Li]<-N(C)(C)CO,['N([C])([C])([C])']
uncond_mono-min15k-137,6,C=CC=NO,[3],[Li]<-N(O)=CC=C,['N([O])([C])']
uncond_mono-min15k-138,6,N[C]C(S)S,[1],[Be]=C(N)C(S)S,['C_carb([N])([C])']
uncond_mono-min15k-139,6,[C]1CCCO1,[0],[Be]=C1CCCO1,['C_carb([C])([O])']
uncond_mono-min15k-140,6,NC(=S)N=O,[3],[Li]<-N(=O)C(N)=S,['N([O])([C])']
uncond_mono-min15k-141,6,C[C]OCC,[1],[Be]=C(C)OCC,['C_carb([C])([O])']
uncond_mono-min15k-142,6,CC(C)=[N+]=[N-],[4],[Li]<-[N-]=[N+]=C(C)C,['N([N])']
uncond_mono-min15k-143,6,CCCNC,[3],[Li]<-N(C)CCC,['N([C])([C])']
uncond_mono-min15k-144,6,CC(=N)C#N,[2],[Li]<-N=C(C)C#N,['N([C])']
uncond_mono-min15k-145,6,CNCCO,[1],[Li]<-N(C)CCO,['N([C])([C])']
uncond_mono-min15k-146,6,CC[C]OC,[2],[Be]=C(CC)OC,['C_carb([C])([O])']
uncond_mono-min15k-147,6,CC[S+](C)[O-],[4],[Li]<-[O-][S+](C)CC,['O([S])']
uncond_mono-min15k-148,6,CC(=N)CO,[2],[Li]<-N=C(C)CO,['N([C])']
uncond_mono-min15k-149,6,NC(=O)C=S,[4],[Li]<-S=CC(N)=O,['S([C])']
uncond_mono-min15k-150,6,[C]=NCC=C,[0],[Be]=C=NCC=C,['C_carb([N])']
uncond_mono-min15k-151,6,CSCCO,[1],[Li]<-S(C)CCO,['S([C])([C])']
uncond_mono-min15k-152,6,CCNC=S,[4],[Li]<-S=CNCC,['S([C])']
uncond_mono-min15k-153,6,CC(O)CN,[4],[Li]<-NCC(C)O,['N([C])']
uncond_mono-min15k-154,6,[C]1CCOC1,[0],[Be]=C1CCOC1,['C_carb([C])([C])']
uncond_mono-min15k-155,6,CC(C)N=O,[3],[Li]<-N(=O)C(C)C,['N([O])([C])']
uncond_mono-min15k-156,6,CN(C)[C]N,[3],[Be]=C(N)N(C)C,['C_carb([N])([N])']
uncond_mono-min15k-157,6,NCC(=O)O,[3],[Li]<-O=C(O)CN,['O([C])']
uncond_mono-min15k-158,6,C[C]N(C)C,[1],[Be]=C(C)N(C)C,['C_carb([C])([N])']
uncond_mono-min15k-159,6,N#CC(N)=O,[0],[Li]<-N#CC(N)=O,['N([C])']
uncond_mono-min15k-160,6,CC(=O)C#N,[4],[Li]<-N#CC(C)=O,['N([C])']
uncond_mono-min15k-161,6,CN=C(C)N,[1],[Li]<-N(C)=C(C)N,['N([C])([C])']
uncond_mono-min15k-162,6,CNC(C)C,[1],[Li]<-N(C)C(C)C,['N([C])([C])']
uncond_mono-min15k-163,6,C#CCNC,[3],[Li]<-N(C)CC#C,['N([C])([C])']
uncond_mono-min15k-164,6,C=CC(C)=O,[4],[Li]<-O=C(C)C=C,['O([C])']
uncond_mono-min15k-165,6,CC(C)=NN,[3],[Li]<-N(N)=C(C)C,['N([N])([C])']
uncond_mono-min15k-166,6,CC(N)C#N,[4],[Li]<-N#CC(C)N,['N([C])']
uncond_mono-min15k-167,6,C=CC(C)=N,[4],[Li]<-N=C(C)C=C,['N([C])']
uncond_mono-min15k-168,6,C=NN(C)C,[1],[Li]<-N(=C)N(C)C,['N([C])([N])']
uncond_mono-min15k-169,6,BOC(C)=N,[4],[Li]<-N=C(C)OB,['N([C])']
uncond_mono-min15k-170,6,C=CC(N)=S,[4],[Li]<-S=C(N)C=C,['S([C])']
uncond_mono-min15k-171,6,[C]=C(C)OC,[0],[Be]=C=C(C)OC,['C_carb([C])']
uncond_mono-min15k-172,6,C=C(C)C#N,[4],[Li]<-N#CC(=C)C,['N([C])']
uncond_mono-min15k-173,6,CC=CC=S,[4],[Li]<-S=CC=CC,['S([C])']
uncond_mono-min15k-174,6,CC(C)(N)O,[4],[Li]<-OC(C)(C)N,['O([C])']
uncond_mono-min15k-175,6,CO[C]C#N,[2],[Be]=C(C#N)OC,['C_carb([C])([O])']
uncond_mono-min15k-176,6,CC(O)(O)O,[2],[Li]<-OC(C)(O)O,['O([C])']
uncond_mono-min15k-177,6,CC(=O)C=N,[4],[Li]<-N=CC(C)=O,['N([C])']
uncond_mono-min15k-178,6,O=C1CCN1,[4],[Li]<-N1CCC1=O,['N([C])([C])']
uncond_mono-min15k-179,6,N#CC(S)S,[0],[Li]<-N#CC(S)S,['N([C])']
uncond_mono-min15k-180,6,CP(C)C=O,[4],[Li]<-O=CP(C)C,['O([C])']
uncond_mono-min15k-181,6,NCC(F)F,[0],[Li]<-NCC(F)F,['N([C])']
uncond_mono-min15k-182,6,BOC(C)=O,[4],[Li]<-O=C(C)OB,['O([C])']
uncond_mono-min15k-183,6,CC(C)(N)Cl,[3],[Li]<-NC(C)(C)Cl,['N([C])']
uncond_mono-min15k-184,6,CC(C)=CS,[4],[Li]<-SC=C(C)C,['S([C])']
uncond_mono-min15k-185,6,COC(=O)[O-],[3],[Li]<-O=C([O-])OC,['O([C])']
uncond_mono-min15k-186,6,CC(=O)N[O-],[4],[Li]<-[O-]NC(C)=O,['O([N])']
uncond_mono-min15k-187,6,[C]=NCCC,[0],[Be]=C=NCCC,['C_carb([N])']
uncond_mono-min15k-188,6,CC(N)=C=S,[4],[Li]<-S=C=C(C)N,['S([C])']
uncond_mono-min15k-189,6,N=CC(=O)O,[0],[Li]<-N=CC(=O)O,['N([C])']
uncond_mono-min15k-190,6,CC(C)C=O,[4],[Li]<-O=CC(C)C,['O([C])']
uncond_mono-min15k-191,6,COCC=O,[4],[Li]<-O=CCOC,['O([C])']
uncond_mono-min15k-192,6,CCSCS,[2],[Li]<-S(CC)CS,['S([C])([C])']
uncond_mono-min15k-193,6,C=CCC#N,[4],[Li]<-N#CCC=C,['N([C])']
uncond_mono-min15k-194,6,[C]1CNCN1,[0],[Be]=C1CNCN1,['C_carb([C])([N])']
uncond_mono-min15k-195,6,O[C]C1CC1,[1],[Be]=C(O)C1CC1,['C_carb([O])([C])']
uncond_mono-min15k-196,6,C[C]OBO,[1],[Be]=C(C)OBO,['C_carb([C])([O])']
uncond_mono-min15k-197,6,C#CC(C)=N,[4],[Li]<-N=C(C)C#C,['N([C])']
uncond_mono-min15k-198,6,NC(N)([SeH])[SeH],[0],[Li]<-NC(N)([SeH])[SeH],['N([C])']
uncond_mono-min15k-199,6,C#CC(N)=S,[4],[Li]<-S=C(N)C#C,['S([C])']
uncond_mono-min15k-200,6,CCSC#N,[4],[Li]<-N#CSCC,['N([C])']
uncond_mono-min15k-201,6,CSC(C)=N,[4],[Li]<-N=C(C)SC,['N([C])']
uncond_mono-min15k-202,6,CC(=O)CO,[2],[Li]<-O=C(C)CO,['O([C])']
uncond_mono-min15k-203,6,CC(C)(C)O,[4],[Li]<-OC(C)(C)C,['O([C])']
uncond_mono-min15k-204,6,NCC(N)=O,[4],[Li]<-O=C(N)CN,['O([C])']
uncond_mono-min15k-205,6,NCC1CC1,[0],[Li]<-NCC1CC1,['N([C])']
uncond_mono-min15k-206,6,[C]NC(=C)C,[0],[Be]=CNC(=C)C,['C_carb([N])']
uncond_mono-min15k-207,6,CN(C)[C]O,[3],[Be]=C(O)N(C)C,['C_carb([O])([N])']
uncond_mono-min15k-208,6,S=C1NCS1,[0],[Li]<-S=C1NCS1,['S([C])']
uncond_mono-min15k-209,6,CCC(C)=S,[4],[Li]<-S=C(C)CC,['S([C])']
uncond_mono-min15k-210,6,CC(C)CS,[4],[Li]<-SCC(C)C,['S([C])']
uncond_mono-min15k-211,6,CN=C(F)F,[1],[Li]<-N(C)=C(F)F,['N([C])([C])']
uncond_mono-min15k-212,6,C=CCON,[4],[Li]<-NOCC=C,['N([O])']
uncond_mono-min15k-213,6,CC(N)CCl,[2],[Li]<-NC(C)CCl,['N([C])']
uncond_mono-min15k-214,6,CC(N)CI,[2],[Li]<-NC(C)CI,['N([C])']
uncond_mono-min15k-215,6,CC(=O)C=O,[4],[Li]<-O=CC(C)=O,['O([C])']
uncond_mono-min15k-216,7,NC1=CO[C]N1,[4],[Be]=C1NC(N)=CO1,['C_carb([N])([O])']
uncond_mono-min15k-217,7,CC(=O)C(C)N,[5],[Li]<-NC(C)C(C)=O,['N([C])']
uncond_mono-min15k-218,7,CCNC(C)O,[2],[Li]<-N(CC)C(C)O,['N([C])([C])']
uncond_mono-min15k-219,7,Cc1c(C)c1=S,[5],[Li]<-S=c1c(C)c1C,['S([C])']
uncond_mono-min15k-220,7,CC(C)OC#N,[5],[Li]<-N#COC(C)C,['N([C])']
uncond_mono-min15k-221,7,CC(C)(N)C#N,[5],[Li]<-N#CC(C)(C)N,['N([C])']
uncond_mono-min15k-222,7,CC1CCSC1,[4],[Li]<-S1CCC(C)C1,['S([C])([C])']
uncond_mono-min15k-223,7,CC(C#N)C=N,[5],[Li]<-N=CC(C)C#N,['N([C])']
uncond_mono-min15k-224,7,CO[C]N(C)C,[2],[Be]=C(OC)N(C)C,['C_carb([O])([N])']
uncond_mono-min15k-225,7,CCSC(C)C,[2],[Li]<-S(CC)C(C)C,['S([C])([C])']
uncond_mono-min15k-226,7,S=C1CCCO1,[0],[Li]<-S=C1CCCO1,['S([C])']
uncond_mono-min15k-227,7,CC(C)(O)CN,[5],[Li]<-NCC(C)(C)O,['N([C])']
uncond_mono-min15k-228,7,CSCC(C)=O,[1],[Li]<-S(C)CC(C)=O,['S([C])([C])']
uncond_mono-min15k-229,7,C=C(C)C=NC,[4],[Li]<-N(C)=CC(=C)C,['N([C])([C])']
uncond_mono-min15k-230,7,CS[C]N(C)C,[2],[Be]=C(SC)N(C)C,['C_carb([S])([N])']
uncond_mono-min15k-231,7,CC[C]CCC,[2],[Be]=C(CC)CCC,['C_carb([C])([C])']
uncond_mono-min15k-232,7,Cc1nccs1,[2],[Li]<-n1ccsc1C,['N([C])([C])']
uncond_mono-min15k-233,7,CCOC(C)=S,[5],[Li]<-S=C(C)OCC,['S([C])']
uncond_mono-min15k-234,7,Nc1c[nH]cn1,[5],[Li]<-n1c[nH]cc1N,['N([C])([C])']
uncond_mono-min15k-235,7,CCSC(C)=N,[5],[Li]<-N=C(C)SCC,['N([C])']
uncond_mono-min15k-236,7,C=C(C)N[C]C,[4],[Be]=C(C)NC(=C)C,['C_carb([C])([N])']
uncond_mono-min15k-237,7,CC(C)NC=S,[5],[Li]<-S=CNC(C)C,['S([C])']
uncond_mono-min15k-238,7,NCCC(=O)O,[0],[Li]<-NCCC(=O)O,['N([C])']
uncond_mono-min15k-239,7,CC(O)=CC#N,[5],[Li]<-N#CC=C(C)O,['N([C])']
uncond_mono-min15k-240,7,Nc1cncs1,[3],[Li]<-n1csc(N)c1,['N([C])([C])']
uncond_mono-min15k-241,7,CCNC(C)F,[2],[Li]<-N(CC)C(C)F,['N([C])([C])']
uncond_mono-min15k-242,7,CCNCCI,[2],[Li]<-N(CC)CCI,['N([C])([C])']
uncond_mono-min15k-243,7,CN(C)CC=N,[5],[Li]<-N=CCN(C)C,['N([C])']
uncond_mono-min15k-244,7,C[C]NCCO,[1],[Be]=C(C)NCCO,['C_carb([C])([N])']
uncond_mono-min15k-245,7,CCNC(C)C,[2],[Li]<-N(CC)C(C)C,['N([C])([C])']
uncond_mono-min15k-246,7,O=CC(F)(F)F,[0],[Li]<-O=CC(F)(F)F,['O([C])']
uncond_mono-min15k-247,7,CC(C#N)C#N,[3],[Li]<-N#CC(C)C#N,['N([C])']
uncond_mono-min15k-248,7,Nc1ccn[nH]1,[5],[Li]<-[nH]1nccc1N,['N([N])([C])']
uncond_mono-min15k-249,7,C=C(CN)CO,[3],[Li]<-NCC(=C)CO,['N([C])']
uncond_mono-min15k-250,7,CC1CCNC1,[4],[Li]<-N1CCC(C)C1,['N([C])([C])']
uncond_mono-min15k-251,7,Nc1cnc[nH]1,[5],[Li]<-[nH]1cncc1N,['N([C])([C])']
uncond_mono-min15k-252,7,C=C(N)C(=O)O,[4],[Li]<-O=C(O)C(=C)N,['O([C])']
uncond_mono-min15k-253,7,CCNCCO,[2],[Li]<-N(CC)CCO,['N([C])([C])']
uncond_mono-min15k-254,7,CC(N)CCO,[2],[Li]<-NC(C)CCO,['N([C])']
uncond_mono-min15k-255,7,CN(C)C(N)=S,[5],[Li]<-S=C(N)N(C)C,['S([C])']
uncond_mono-min15k-256,7,CCOCCN,[5],[Li]<-NCCOCC,['N([C])']
uncond_mono-min15k-257,7,NC1CN=CN1,[5],[Li]<-N1C=NCC1N,['N([C])([C])']
uncond_mono-min15k-258,7,NC(N)C(=O)O,[0],[Li]<-NC(N)C(=O)O,['N([C])']
uncond_mono-min15k-259,7,CCSC(C)=S,[5],[Li]<-S=C(C)SCC,['S([C])']
uncond_mono-min15k-260,7,CCSC(C)N,[5],[Li]<-NC(C)SCC,['N([C])']
uncond_mono-min15k-261,7,COC(C)C=N,[5],[Li]<-N=CC(C)OC,['N([C])']
uncond_mono-min15k-262,7,CC(C)N(C)C,[3],[Li]<-N(C)(C)C(C)C,['N([C])([C])([C])']
uncond_mono-min15k-263,7,NCC(F)(F)F,[0],[Li]<-NCC(F)(F)F,['N([C])']
uncond_mono-min15k-264,7,Cc1cnoc1,[3],[Li]<-n1cc(C)co1,['N([C])([O])']
uncond_mono-min15k-265,7,CC(C)(C)C=N,[5],[Li]<-N=CC(C)(C)C,['N([C])']
uncond_mono-min15k-266,7,CNP(C)NC,[2],[Li]<-P(C)(NC)NC,['P([C])([N])([N])']
uncond_mono-min15k-267,7,[C]=CC(=O)OC,[0],[Be]=C=CC(=O)OC,['C_carb([C])']
uncond_mono-min15k-268,7,CC(O)N(C)C,[3],[Li]<-N(C)(C)C(C)O,['N([C])([C])([C])']
uncond_mono-min15k-269,7,CN=C(C)OC,[1],[Li]<-N(C)=C(C)OC,['N([C])([C])']
uncond_mono-min15k-270,7,CC=C[C]NC,[3],[Be]=C(C=CC)NC,['C_carb([C])([N])']
uncond_mono-min15k-271,7,CCO[C]NC,[3],[Be]=C(NC)OCC,['C_carb([N])([O])']
uncond_mono-min15k-272,7,CC[C]OCC,[2],[Be]=C(CC)OCC,['C_carb([C])([O])']
uncond_mono-min15k-273,7,Cc1cn[nH]c1,[4],[Li]<-[nH]1cc(C)cn1,['N([C])([N])']
uncond_mono-min15k-274,7,BOC(=N)CC,[3],[Li]<-N=C(CC)OB,['N([C])']
