,Original encoded SMILES,Original log P,Original G parameter,Denticity,Isomer,Original encoded SMILES again,Optimized encoded SMILES,Tanimoto similarity,Optimization objective,Minimization,Original ligand ID,Optimized ligand ID,Sampling region,Optimization direction,Valid
3,[Be]=C1N(C)C=CN1Cc1ccc(F)cc1,2.04059,30.45519656215184,0,0,[Be]=C1N(C)C=CN1Cc1ccc(F)cc1,[Be]=C1N(C)C=CN1Cc1cccc(N2CCOCC2)c1,0.4492753623188406,log P - G parameter,True,uncond_mono-min15k-8572,cond_mono-isolated_ligands-O6_optimized-uncond_mono-min15k-8572,High G parameter,O6,True
4,[Be]=C1NC(N)=CN1Cc1ccc(F)cc1,0.98479,34.45010345376412,0,0,[Be]=C1NC(N)=CN1Cc1ccc(F)cc1,[Be]=C1NC(N)CCN1C(C)c1ccccc1,0.2083333333333333,log P - G parameter,True,uncond_mono-min15k-9550,cond_mono-isolated_ligands-O6_optimized-uncond_mono-min15k-9550,High G parameter,O6,True
5,[Be]=C(SC=C(C)OC)N(C)C,1.78519,33.40760783065414,0,0,[Be]=C(SC=C(C)OC)N(C)C,[Be]=C(NC)SCC(=O)OC,0.2272727272727272,log P - G parameter,True,uncond_mono-min15k-2627,cond_mono-isolated_ligands-O6_optimized-uncond_mono-min15k-2627,High G parameter,O6,True
6,[Li]<-O=C(C)Nc1ccc(C)cc1,1.95342,29.26149928378164,0,0,[Li]<-O=C(C)Nc1ccc(C)cc1,[Be]=C1NCCC(N)(c2ccc(C)cc2)N1C,0.2833333333333333,log P - G parameter,True,uncond_mono-min15k-4752,cond_mono-isolated_ligands-O6_optimized-uncond_mono-min15k-4752,High G parameter,O6,True
7,[Be]=C1NC(=O)C=CN1c1cccc(C)c1,1.44121,29.02275982810759,0,0,[Be]=C1NC(=O)C=CN1c1cccc(C)c1,[Be]=C1C2c3ccccc3C1(N)NCN2C(C)=O,0.2191780821917808,log P - G parameter,True,uncond_mono-min15k-9292,cond_mono-isolated_ligands-O6_optimized-uncond_mono-min15k-9292,High G parameter,O6,True
8,[Be]=C1N(c2cccc(C)c2C)C=CN1C(C)(O)O,1.55123,31.02021327391374,0,0,[Be]=C1N(c2cccc(C)c2C)C=CN1C(C)(O)O,[Be]=C1N(C)C=CN1C(C)Oc1ccccc1,0.2567567567567567,log P - G parameter,True,uncond_mono-min15k-14325,cond_mono-isolated_ligands-O6_optimized-uncond_mono-min15k-14325,High G parameter,O6,True
9,[Li]<-S=C(NC)C(=C)C,1.1093,34.36256565335031,0,0,[Li]<-S=C(NC)C(=C)C,[Be]=C(NC)C(=C)C,0.4230769230769231,log P - G parameter,True,uncond_mono-min15k-890,cond_mono-isolated_ligands-O6_optimized-uncond_mono-min15k-890,High G parameter,O6,True
0,[Li]<-O=C(C)Nc1ccc(C)cc1,1.95342,29.26149928378164,0,0,[Li]<-O=C(C)Nc1ccc(C)cc1,[Li]<-n1nnc(C)n1-c1ccc(C(C)=O)cc1,0.2622950819672131,log P + G parameter,True,uncond_mono-min15k-4752,cond_mono-isolated_ligands-O7_optimized-uncond_mono-min15k-4752,High G parameter,O7,True
1,[Be]=C1NC(N)=CN1Cc1ccc(F)cc1,0.98479,34.45010345376412,0,0,[Be]=C1NC(N)=CN1Cc1ccc(F)cc1,[Li]<-NCc1ccc(F)cc1,0.4,log P + G parameter,True,uncond_mono-min15k-9550,cond_mono-isolated_ligands-O7_optimized-uncond_mono-min15k-9550,High G parameter,O7,True
2,[Li]<-n1ccccc1C(O)(OC)c1ccc(C)cc1,2.22982,31.55339805825244,0,0,[Li]<-n1ccccc1C(O)(OC)c1ccc(C)cc1,[Li]<-n1ccc(C(O)(OC)c2cccc(C)c2)cc1,0.5151515151515151,log P + G parameter,True,uncond_mono-min15k-14761,cond_mono-isolated_ligands-O7_optimized-uncond_mono-min15k-14761,High G parameter,O7,True
3,[Be]=C1NC(=O)C=CN1c1cccc(C)c1,1.44121,29.02275982810759,0,0,[Be]=C1NC(=O)C=CN1c1cccc(C)c1,[Li]<-n1cccc(-c2nncn2-c2cccc(F)c2)c1,0.2278481012658227,log P + G parameter,True,uncond_mono-min15k-9292,cond_mono-isolated_ligands-O7_optimized-uncond_mono-min15k-9292,High G parameter,O7,True
4,[Li]<-O=C(C=C)Nc1cccc(C)c1C,2.4279400000000004,29.635524431004296,0,0,[Li]<-O=C(C=C)Nc1cccc(C)c1C,[Li]<-O=C(C=C)Nc1c(C)cccc1C,0.6888888888888889,log P + G parameter,True,uncond_mono-min15k-7231,cond_mono-isolated_ligands-O7_optimized-uncond_mono-min15k-7231,High G parameter,O7,True
5,[Be]=C1N(C)C=CN1Cc1cccnc1,1.29649,30.97246538277893,0,0,[Be]=C1N(C)C=CN1Cc1cccnc1,[Li]<-n1ccn(Cc2cccnc2)c1,0.4444444444444444,log P + G parameter,True,uncond_mono-min15k-6877,cond_mono-isolated_ligands-O7_optimized-uncond_mono-min15k-6877,High G parameter,O7,True
6,[Be]=C1N(C)C=CN1Cc1ccc(F)cc1,2.04059,30.45519656215184,0,0,[Be]=C1N(C)C=CN1Cc1ccc(F)cc1,[Be]=C1N(C)C=CN1NCc1ccccc1,0.3934426229508196,log P + G parameter,True,uncond_mono-min15k-8572,cond_mono-isolated_ligands-O7_optimized-uncond_mono-min15k-8572,High G parameter,O7,True
7,[Be]=C1N(CC(C)C)CCN1CC(C)(C)C,2.30239,32.23778449785135,0,0,[Be]=C1N(CC(C)C)CCN1CC(C)(C)C,[Li]<-N1=CN(CC(C)C)C(C(C)(C)N)C1,0.293103448275862,log P + G parameter,True,uncond_mono-min15k-9884,cond_mono-isolated_ligands-O7_optimized-uncond_mono-min15k-9884,High G parameter,O7,True
8,[Be]=C1N(c2cccc(C)c2C)C=CN1C(C)(O)O,1.55123,31.02021327391374,0,0,[Be]=C1N(c2cccc(C)c2C)C=CN1C(C)(O)O,[Be]=C1N(c2c(C)cccc2O)C=CN1C(C)(C)O,0.6,log P + G parameter,True,uncond_mono-min15k-14325,cond_mono-isolated_ligands-O7_optimized-uncond_mono-min15k-14325,High G parameter,O7,True
0,[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,0.8233900000000001,29.46044883017667,0,0,[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,[Li]<-n1cc(C(=O)OCC)c(C)n1C=N,0.574468085106383,log P - G parameter,False,uncond_mono-min15k-7207,cond_mono-isolated_ligands-O8_optimized-uncond_mono-min15k-7207,High G parameter,O8,True
1,[Li]<-O=C(C)Nc1ccc(C)cc1,1.95342,29.26149928378164,0,0,[Li]<-O=C(C)Nc1ccc(C)cc1,[Li]<-O=C(C)N(CC)c1ccccc1C,0.3148148148148148,log P - G parameter,False,uncond_mono-min15k-4752,cond_mono-isolated_ligands-O8_optimized-uncond_mono-min15k-4752,High G parameter,O8,True
2,[Li]<-n1ccccc1C(O)(OC)c1ccc(C)cc1,2.22982,31.55339805825244,0,0,[Li]<-n1ccccc1C(O)(OC)c1ccc(C)cc1,[Li]<-n1ccc(C(C)(C)Oc2ccccc2C)c(C)c1,0.3246753246753247,log P - G parameter,False,uncond_mono-min15k-14761,cond_mono-isolated_ligands-O8_optimized-uncond_mono-min15k-14761,High G parameter,O8,True
3,[Be]=C1NC(=O)C=CN1c1cccc(C)c1,1.44121,29.02275982810759,0,0,[Be]=C1NC(=O)C=CN1c1cccc(C)c1,[Li]<-n1ccc(-c2cc(C)cc(F)c2)cc1,0.2537313432835821,log P - G parameter,False,uncond_mono-min15k-9292,cond_mono-isolated_ligands-O8_optimized-uncond_mono-min15k-9292,High G parameter,O8,True
4,[Li]<-O=C(C=C)Nc1cccc(C)c1C,2.4279400000000004,29.635524431004296,0,0,[Li]<-O=C(C=C)Nc1cccc(C)c1C,[Li]<-N(=CC=C)c1cc(C)cc(C)c1,0.2372881355932203,log P - G parameter,False,uncond_mono-min15k-7231,cond_mono-isolated_ligands-O8_optimized-uncond_mono-min15k-7231,High G parameter,O8,True
5,[Be]=C1N(C)C=CN1Cc1cccnc1,1.29649,30.97246538277893,0,0,[Be]=C1N(C)C=CN1Cc1cccnc1,[Li]<-n1cccc(-c2cncn2CC)c1,0.2698412698412698,log P - G parameter,False,uncond_mono-min15k-6877,cond_mono-isolated_ligands-O8_optimized-uncond_mono-min15k-6877,High G parameter,O8,True
6,[Be]=C1N(CC(C)C)CCN1CC(C)(C)C,2.30239,32.23778449785135,0,0,[Be]=C1N(CC(C)C)CCN1CC(C)(C)C,[Li]<-N1=CN(CC(C)(C)C)C(C(C)(C)N)C1,0.2622950819672131,log P - G parameter,False,uncond_mono-min15k-9884,cond_mono-isolated_ligands-O8_optimized-uncond_mono-min15k-9884,High G parameter,O8,True
7,[Be]=C1N(c2cccc(C)c2C)C=CN1C(C)(O)O,1.55123,31.02021327391374,0,0,[Be]=C1N(c2cccc(C)c2C)C=CN1C(C)(O)O,[Be]=C1NC=CN1c1c(C)ccc(C)c1C,0.3484848484848485,log P - G parameter,False,uncond_mono-min15k-14325,cond_mono-isolated_ligands-O8_optimized-uncond_mono-min15k-14325,High G parameter,O8,True
0,[Li]<-n1cc(C)n(CC)c1,1.21142,19.218526181760307,0,0,[Li]<-n1cc(C)n(CC)c1,[Li]<-n1cc(C)n(Cc2cccs2)c1,0.4523809523809524,log P,False,uncond_mono-min15k-1003,cond_mono-isolated_ligands-O1_optimized-uncond_mono-min15k-1003,Low G parameter,O1,True
1,[Li]<-n1cnn(CC(C)(C)C)c1,1.3241999999999998,18.963870762374665,0,0,[Li]<-n1cnn(CC(C)(C)C)c1,[Li]<-N1=CN(CC(C)(C)C)C2(C=CC=CC2)C1,0.3035714285714285,log P,False,uncond_mono-min15k-3184,cond_mono-isolated_ligands-O1_optimized-uncond_mono-min15k-3184,Low G parameter,O1,True
