Unnamed: 0,name,smiles,stoichiometry,occurrence,parent_metal_occurrences,metal_bond_node_idx_groups,charge,custom_mol,connect_id,enriched_mol,enriched_smiles
186,ligand191-0,ON=C1CCCC1,C5H9NO,3,"{'Pt': ['EHISIZ-subgraph-3', 'EHISIZ-subgraph-2'], 'Ni': ['IPUHOQ-subgraph-1', 'IPUHOQ-subgraph-3'], 'Zn': ['LUFKOM-subgraph-0', 'LUFKOM-subgraph-2']}","{'EHISIZ-subgraph-2': [[2]], 'EHISIZ-subgraph-3': [[11]], 'IPUHOQ-subgraph-1': [[0]], 'IPUHOQ-subgraph-3': [[0]], 'LUFKOM-subgraph-0': [[3]], 'LUFKOM-subgraph-2': [[0]]}",0,<rdkit.Chem.rdchem.Mol object at 0x7710c3369c60>,[[0]],<rdkit.Chem.rdchem.Mol object at 0x7710c2ba71a0>,[Li]<-N(O)=C1CCCC1
198,ligand204-0,[C](OC)NC,C3H7NO,1,"{'Pd': ['CMACBP-subgraph-3', 'CMACBP-subgraph-2']}","{'CMACBP-subgraph-2': [[0]], 'CMACBP-subgraph-3': [[0]]}",0,<rdkit.Chem.rdchem.Mol object at 0x7710c3369cb0>,[[0]],<rdkit.Chem.rdchem.Mol object at 0x7710c2ba71f0>,[Be]=[C](NC)OC
200,ligand206-0,N1(c2c(C(C)C)cccc2C(C)C)[C]N(C=C1)c1c(C(C)C)cccc1C(C)C,C27H36N2,168,"{'Pd': ['ACIVOA-subgraph-2', 'GADLAA-subgraph-3', 'VABLUI-subgraph-2', 'DUWJOV-subgraph-2', 'ACALOI-subgraph-1', 'UDETOP-subgraph-2', 'NEZCUS-subgraph-2', 'UVOSEE-subgraph-3', 'GADKON-subgraph-2', 'OYEYIB-subgraph-2', 'GEXGOI-subgraph-2', 'BIXROQ-subgraph-2', 'QADJAI-subgraph-3', 'DUWJUB-subgraph-2', 'ZEJJEF-subgraph-2', 'BIBLUW-subgraph-2', 'ZIGDIE-subgraph-2', 'KUYMEY-subgraph-3', 'NABLAG-subgraph-2', 'NEZCIG-subgraph-1', 'TUCSAM-subgraph-1'], 'Ag': ['HEBLUW-subgraph-0', 'DALLEK-subgraph-0', 'LAFDII-subgraph-1', 'DALLOU-subgraph-0', 'EKIKEQ-subgraph-1', 'KUVVAZ-subgraph-1', 'KUVVIH-subgraph-1', 'KUVTUR-subgraph-1', 'KUVVED-subgraph-1'], 'Cu': ['KAYSUB-subgraph-1', 'BIBPUY-subgraph-0', 'LAJNAN-subgraph-0', 'EVICIV-subgraph-1', 'XAXQET-subgraph-1', 'EWEJAT-subgraph-0', 'BODKEN-subgraph-0', 'VAFLUL-subgraph-1', 'WISJEQ-subgraph-0', 'BODKIR-subgraph-0', 'FORFAW-subgraph-1', 'WOCYET-subgraph-0', 'KEMVOP-subgraph-1', 'AKONEU-subgraph-0', 'XAXQOD-subgraph-1', 'AKONIY-subgraph-0', 'VAFLOF-subgraph-1', 'JEZTAM-subgraph-1', 'NOSNIU-subgraph-0', 'QICWAB-subgraph-1', 'HOBPAR-subgraph-1', 'FORDAU-subgraph-0', 'PEMXIP-subgraph-0', 'BIBPIM-subgraph-1', 'NETMUX-subgraph-0', 'NOSNEQ-subgraph-1', 'XAXQIX-subgraph-1', 'QIGCAM-subgraph-0', 'DELFIM-subgraph-1', 'AKONAQ-subgraph-1', 'GEVDUJ-subgraph-0'], 'Au': ['INOXEP-subgraph-0', 'NICWIG-subgraph-1', 'INOYEQ-subgraph-0', 'INOWIS-subgraph-0', 'BEWTUU-subgraph-0', 'XOLVIE-subgraph-0', 'INOYIU-subgraph-0', 'NUVPEA-subgraph-0', 'PEXWIA-subgraph-0', 'NUVPAW-subgraph-0', 'OQEPIK-subgraph-0', 'MOMCEY-subgraph-0', 'VIKGIH-subgraph-1', 'HOTPAJ-subgraph-1', 'HOTQUE-subgraph-1', 'XEGFUN-subgraph-0', 'INOXOZ-subgraph-0', 'ZOBKAF-subgraph-0', 'NICVOL-subgraph-1', 'SICKEW-subgraph-0', 'MEYZAU-subgraph-1', 'ZIHPAJ-subgraph-3', 'NUVNIC-subgraph-0', 'ZOBJIM-subgraph-1', 'MOMBUN-subgraph-1', 'INOYAM-subgraph-0', 'ZOBJUY-subgraph-0', 'XEGHEZ-subgraph-3', 'PAQKIE-subgraph-1', 'ZOBJOS-subgraph-0', 'JINGIX-subgraph-1', 'BELWOH-subgraph-1', 'OLOGIH-subgraph-0', 'BEWTOO-subgraph-0', 'ADEVIQ-subgraph-0', 'EFUNUQ-subgraph-1', 'XEGGIC-subgraph-0', 'NATLAW-subgraph-1', 'NUVNUO-subgraph-1', 'HOTQIS-subgraph-1', 'ASIDEM-subgraph-2', 'XEGGUO-subgraph-0', 'VIKGED-subgraph-1', 'MOMCIC-subgraph-1', 'HOXNOZ-subgraph-1', 'QANPUT-subgraph-1', 'TICPED-subgraph-0', 'XOVKOJ-subgraph-0', 'NUVNOI-subgraph-0', 'SUQWIL-subgraph-0', 'INOWOY-subgraph-0', 'MOMCAU-subgraph-1', 'NEDPOD-subgraph-0', 'WELTUE-subgraph-0', 'ASICUB-subgraph-0', 'YUYHEG-subgraph-1', 'XEGHID-subgraph-0', 'PIKFEW-subgraph-1', 'INOXUF-subgraph-0', 'SUQWAD-subgraph-0', 'ZEWMEV-subgraph-0', 'PIYNOC-subgraph-1', 'ZOBKIN-subgraph-1', 'INOYOA-subgraph-0', 'QOBSEI-subgraph-0', 'YEHDIZ-subgraph-0', 'NUVPIE-subgraph-0', 'EFUNOK-subgraph-1', 'TINBEZ-subgraph-1'], 'Ni': ['MAYQAG-subgraph-0', 'RISQOC-subgraph-1', 'MAYPIN-subgraph-1', 'LEMVOQ-subgraph-1', 'UGOGON-subgraph-1', 'XUPSIL-subgraph-1', 'OWIQOB-subgraph-0', 'JOLFOH-subgraph-0', 'MAYPUZ-subgraph-1', 'KAHZOJ-subgraph-0', 'SEJKUP-subgraph-1', 'LUVGIS-subgraph-1'], 'Pt': ['MAHZUT-subgraph-0', 'EGAJUU-subgraph-1'], 'Ru': ['OFUXAP-subgraph-4', 'AJUTUW-subgraph-1'], 'Zn': ['MIYMUE-subgraph-0', 'MIYPAN-subgraph-3', 'DEDHOK-subgraph-1', 'YIDQIN-subgraph-0', 'MIYPER-subgraph-2'], 'Hg': ['IBAFEY-subgraph-1'], 'Rh': ['RAWKAE-subgraph-2'], 'Cr': ['SIQSER-subgraph-0'], 'Ta': ['ONAJAQ-subgraph-5', 'QAJTED-subgraph-5', 'SOVMUO-subgraph-3'], 'Nb': ['SOVMOI-subgraph-3'], 'Fe': ['QINZUK-subgraph-4', 'UVAGOP-subgraph-3'], 'Co': ['IGIMIU-subgraph-0', 'IGIMOA-subgraph-1', 'GEHTUL-subgraph-1', 'OWAPAF-subgraph-3'], 'W': ['BAXQAV-subgraph-0', 'FAJKOS-subgraph-0'], 'Mn': ['LEXGAY-subgraph-2'], 'Re': ['HAKTOE-subgraph-4']}","{'ACIVOA-subgraph-2': [[2]], 'LAFDII-subgraph-1': [[2]], 'AKONEU-subgraph-0': [[0]], 'NATLAW-subgraph-1': [[0]], 'DUWJUB-subgraph-2': [[2]], 'UVOSEE-subgraph-3': [[2]], 'VAFLOF-subgraph-1': [[3]], 'BIBLUW-subgraph-2': [[2]], 'TINBEZ-subgraph-1': [[1]], 'NUVPEA-subgraph-0': [[0]], 'LUVGIS-subgraph-1': [[2]], 'EGAJUU-subgraph-1': [[2]], 'SICKEW-subgraph-0': [[0]], 'QOBSEI-subgraph-0': [[0]], 'EWEJAT-subgraph-0': [[3]], 'DALLOU-subgraph-0': [[0]], 'ADEVIQ-subgraph-0': [[0]], 'XUPSIL-subgraph-1': [[1]], 'KAHZOJ-subgraph-0': [[3]], 'XAXQET-subgraph-1': [[2]], 'KAYSUB-subgraph-1': [[2]], 'AJUTUW-subgraph-1': [[2]], 'ZOBJIM-subgraph-1': [[2]], 'INOXOZ-subgraph-0': [[0]], 'FORFAW-subgraph-1': [[2]], 'NUVNUO-subgraph-1': [[0]], 'EKIKEQ-subgraph-1': [[2]], 'INOYAM-subgraph-0': [[0]], 'BEWTOO-subgraph-0': [[0]], 'ZOBJUY-subgraph-0': [[2]], 'ZOBJOS-subgraph-0': [[2]], 'MEYZAU-subgraph-1': [[1]], 'XEGFUN-subgraph-0': [[0]], 'BIXROQ-subgraph-2': [[1]], 'EFUNOK-subgraph-1': [[2]], 'XEGHID-subgraph-0': [[4]], 'AKONAQ-subgraph-1': [[0]], 'ZOBKAF-subgraph-0': [[2]], 'INOWIS-subgraph-0': [[0]], 'KUVVIH-subgraph-1': [[4]], 'MIYPER-subgraph-2': [[2]], 'ZEWMEV-subgraph-0': [[0]], 'BIBPUY-subgraph-0': [[1]], 'IBAFEY-subgraph-1': [[4]], 'XEGGUO-subgraph-0': [[0]], 'RAWKAE-subgraph-2': [[1]], 'NICWIG-subgraph-1': [[3]], 'EVICIV-subgraph-1': [[1]], 'ZIGDIE-subgraph-2': [[0]], 'OYEYIB-subgraph-2': [[0]], 'SIQSER-subgraph-0': [[1]], 'YUYHEG-subgraph-1': [[0]], 'ONAJAQ-subgraph-5': [[2]], 'INOWOY-subgraph-0': [[0]], 'AKONIY-subgraph-0': [[0]], 'PEMXIP-subgraph-0': [[1]], 'OFUXAP-subgraph-4': [[2]], 'MIYPAN-subgraph-3': [[2]], 'RISQOC-subgraph-1': [[1]], 'HOTPAJ-subgraph-1': [[2]], 'XEGGIC-subgraph-0': [[0]], 'KEMVOP-subgraph-1': [[1]], 'SUQWAD-subgraph-0': [[2]], 'INOYIU-subgraph-0': [[0]], 'SUQWIL-subgraph-0': [[2]], 'SOVMOI-subgraph-3': [[1]], 'UVAGOP-subgraph-3': [[2]], 'BODKIR-subgraph-0': [[1]], 'WOCYET-subgraph-0': [[1]], 'KUVVED-subgraph-1': [[19]], 'GEVDUJ-subgraph-0': [[3]], 'INOYOA-subgraph-0': [[0]], 'OLOGIH-subgraph-0': [[7]], 'IGIMOA-subgraph-1': [[1]], 'FORDAU-subgraph-0': [[2]], 'HOTQUE-subgraph-1': [[2]], 'JOLFOH-subgraph-0': [[0]], 'MAYQAG-subgraph-0': [[1]], 'MOMCAU-subgraph-1': [[3]], 'QADJAI-subgraph-3': [[1]], 'MOMCEY-subgraph-0': [[1]], 'VIKGIH-subgraph-1': [[0]], 'QICWAB-subgraph-1': [[2]], 'UGOGON-subgraph-1': [[2]], 'NETMUX-subgraph-0': [[2]], 'QIGCAM-subgraph-0': [[0]], 'KUVVAZ-subgraph-1': [[0]], 'QANPUT-subgraph-1': [[0]], 'JINGIX-subgraph-1': [[3]], 'LAJNAN-subgraph-0': [[2]], 'NICVOL-subgraph-1': [[0]], 'HOXNOZ-subgraph-1': [[2]], 'DALLEK-subgraph-0': [[0]], 'TICPED-subgraph-0': [[0]], 'PIKFEW-subgraph-1': [[1]], 'QINZUK-subgraph-4': [[6]], 'VABLUI-subgraph-2': [[3]], 'MAYPIN-subgraph-1': [[2]], 'INOYEQ-subgraph-0': [[0]], 'NUVPAW-subgraph-0': [[0]], 'XOVKOJ-subgraph-0': [[2]], 'XAXQIX-subgraph-1': [[1]], 'ASIDEM-subgraph-2': [[2]], 'BAXQAV-subgraph-0': [[1]], 'OWAPAF-subgraph-3': [[3]], 'WISJEQ-subgraph-0': [[1]], 'IGIMIU-subgraph-0': [[1]], 'NUVNIC-subgraph-0': [[0]], 'DELFIM-subgraph-1': [[3]], 'INOXUF-subgraph-0': [[0]], 'BIBPIM-subgraph-1': [[2]], 'GEXGOI-subgraph-2': [[2]], 'PIYNOC-subgraph-1': [[1]], 'NEDPOD-subgraph-0': [[3]], 'PAQKIE-subgraph-1': [[2]], 'OWIQOB-subgraph-0': [[1]], 'MOMBUN-subgraph-1': [[2]], 'NABLAG-subgraph-2': [[2]], 'MAHZUT-subgraph-0': [[0]], 'BELWOH-subgraph-1': [[2]], 'ZOBKIN-subgraph-1': [[2]], 'LEMVOQ-subgraph-1': [[2]], 'QAJTED-subgraph-5': [[3]], 'GADKON-subgraph-2': [[1]], 'YEHDIZ-subgraph-0': [[1]], 'FAJKOS-subgraph-0': [[17]], 'XAXQOD-subgraph-1': [[2]], 'MAYPUZ-subgraph-1': [[1]], 'NOSNIU-subgraph-0': [[3]], 'DUWJOV-subgraph-2': [[2]], 'VIKGED-subgraph-1': [[1]], 'LEXGAY-subgraph-2': [[2]], 'HOBPAR-subgraph-1': [[2]], 'YIDQIN-subgraph-0': [[1]], 'INOXEP-subgraph-0': [[0]], 'GADLAA-subgraph-3': [[2]], 'HEBLUW-subgraph-0': [[1]], 'UDETOP-subgraph-2': [[2]], 'KUVTUR-subgraph-1': [[2]], 'XEGHEZ-subgraph-3': [[4]], 'NEZCUS-subgraph-2': [[3]], 'NOSNEQ-subgraph-1': [[0]], 'SOVMUO-subgraph-3': [[1]], 'HAKTOE-subgraph-4': [[1]], 'MIYMUE-subgraph-0': [[1]], 'EFUNUQ-subgraph-1': [[1]], 'VAFLUL-subgraph-1': [[7]], 'NUVNOI-subgraph-0': [[0]], 'JEZTAM-subgraph-1': [[2]], 'BEWTUU-subgraph-0': [[0]], 'GEHTUL-subgraph-1': [[2]], 'BODKEN-subgraph-0': [[1]], 'KUYMEY-subgraph-3': [[2]], 'XOLVIE-subgraph-0': [[0]], 'ZIHPAJ-subgraph-3': [[1]], 'TUCSAM-subgraph-1': [[1]], 'DEDHOK-subgraph-1': [[0]], 'SEJKUP-subgraph-1': [[1]], 'ZEJJEF-subgraph-2': [[2]], 'MOMCIC-subgraph-1': [[3]], 'PEXWIA-subgraph-0': [[1]], 'ASICUB-subgraph-0': [[1]], 'NEZCIG-subgraph-1': [[2]], 'NUVPIE-subgraph-0': [[0]], 'ACALOI-subgraph-1': [[2]], 'WELTUE-subgraph-0': [[0]], 'HOTQIS-subgraph-1': [[2]], 'OQEPIK-subgraph-0': [[0]]}",0,<rdkit.Chem.rdchem.Mol object at 0x7710c3369d00>,[[3]],<rdkit.Chem.rdchem.Mol object at 0x7710c2baf240>,[Be]=[C]1N(c2c(C(C)C)cccc2C(C)C)C=CN1c1c(C(C)C)cccc1C(C)C
202,ligand208-0,[C]1N(Cc2ccccc2)C=NN1C(C)C,C12H15N3,3,"{'Ni': ['LUZMAW-subgraph-2', 'LUZMIE-subgraph-0'], 'Pd': ['YOXGOI-subgraph-2']}","{'LUZMAW-subgraph-2': [[0]], 'YOXGOI-subgraph-2': [[3]], 'LUZMIE-subgraph-0': [[15]]}",0,<rdkit.Chem.rdchem.Mol object at 0x7710c3369d50>,[[15]],<rdkit.Chem.rdchem.Mol object at 0x7710c2baf290>,[Be]=[C]1N(Cc2ccccc2)C=NN1C(C)C
208,ligand215-0,P(N[C]C)(N(C(C)C)C(C)C)N(C(C)C)C(C)C,C14H32N3P,2,"{'Mo': ['NASPEC-subgraph-0'], 'Cr': ['NASPAY-subgraph-0']}","{'NASPEC-subgraph-0': [[5]], 'NASPAY-subgraph-0': [[7]]}",0,<rdkit.Chem.rdchem.Mol object at 0x7710c3369df0>,[[7]],<rdkit.Chem.rdchem.Mol object at 0x7710c2bbf2e0>,[Be]=[C](C)NP(N(C(C)C)C(C)C)N(C(C)C)C(C)C
216,ligand222-0,Nc1ccccc1C,C7H9N,4,"{'Ir': ['LIWLAH-subgraph-1'], 'Pt': ['GOYJEL-subgraph-1'], 'Cd': ['EGUGET-subgraph-2', 'EGUGET-subgraph-1'], 'Pd': ['NOQLUB-subgraph-1', 'NOQLUB-subgraph-2']}","{'LIWLAH-subgraph-1': [[0]], 'GOYJEL-subgraph-1': [[13]], 'EGUGET-subgraph-1': [[0]], 'EGUGET-subgraph-2': [[9]], 'NOQLUB-subgraph-1': [[0]], 'NOQLUB-subgraph-2': [[9]]}",0,<rdkit.Chem.rdchem.Mol object at 0x7710d97b9e40>,[[0]],<rdkit.Chem.rdchem.Mol object at 0x7710c2ba7330>,[Li]<-Nc1ccccc1C
217,ligand223-0,P(c1cccnc1)(c1cccnc1)c1cccnc1,C15H12N3P,1,{'Au': ['XARXUL-subgraph-1']},{'XARXUL-subgraph-1': [[0]]},0,<rdkit.Chem.rdchem.Mol object at 0x7710d9799e90>,[[0]],<rdkit.Chem.rdchem.Mol object at 0x7710c2ba7380>,[Li]<-P(c1cccnc1)(c1cccnc1)c1cccnc1
220,ligand227-0,[C]1N(C=CN1[C]c1c2c(cccc2)cc2c1cccc2)CCCC,C22H20N2,1,{'Au': ['INENOF-subgraph-1']},{'INENOF-subgraph-1': [[0]]},0,<rdkit.Chem.rdchem.Mol object at 0x7710d97b9ee0>,[[0]],<rdkit.Chem.rdchem.Mol object at 0x7710c2ba73d0>,[Be]=[C]1N([C]c2c3ccccc3cc3ccccc23)C=CN1CCCC
232,ligand239-0,P(c1ccccc1)(c1c2c(ccc1)C(C)(c1c(O2)cccc1)C)c1ccccc1,C27H23OP,1,{'Au': ['FODKAM-subgraph-0']},{'FODKAM-subgraph-0': [[0]]},0,<rdkit.Chem.rdchem.Mol object at 0x7710c3369f80>,[[0]],<rdkit.Chem.rdchem.Mol object at 0x7710c2ba7420>,[Li]<-P(c1ccccc1)(c1ccccc1)c1cccc2c1Oc1ccccc1C2(C)C
237,ligand244-0,P(c1ccccc1C)(c1c(cccc1)C)c1c(cccc1)C,C21H21P,52,"{'Cr': ['LANJIT-subgraph-0', 'VOZMUS-subgraph-0'], 'Ag': ['IFEVEX-subgraph-2', 'UFUDAD-subgraph-2', 'RILFOK-subgraph-1', 'EXEZUE-subgraph-1', 'LEYCUO-subgraph-1', 'CIBPIP-subgraph-1', 'TEXXUQ-subgraph-2', 'TEXYOL-subgraph-2', 'UDUHUZ-subgraph-2', 'IDOTUT-subgraph-2', 'LEYCIC-subgraph-2', 'RIKPUZ-subgraph-2', 'GIPQAA-subgraph-2', 'LEZDUQ-subgraph-2', 'HUNZUL-subgraph-1', 'YAHYIQ-subgraph-1', 'UDOMIM-subgraph-2', 'LEZFIG-subgraph-2'], 'Pd': ['QEWFON-subgraph-1', 'OCEPIY-subgraph-2', 'IWUFAJ-subgraph-1', 'VIYYOS-subgraph-1', 'FOYPUG-subgraph-2'], 'Au': ['KEPMIZ-subgraph-1', 'IDAHAX-subgraph-1', 'OKAPAR-subgraph-1', 'XUMQOL-subgraph-1', 'OKANIX-subgraph-1', 'AVOROS-subgraph-1', 'OYEGEF-subgraph-0', 'AVORIM-subgraph-1', 'FOBZAX-subgraph-1', 'FOBXOJ-subgraph-1', 'HEPWAA-subgraph-0', 'YUDVUO-subgraph-1', 'IFAGIG-subgraph-1', 'YUDVOI-subgraph-1', 'IDAHEB-subgraph-1'], 'Rh': ['GEDSUE-subgraph-1'], 'Fe': ['VOZNAZ-subgraph-0'], 'Co': ['JAHJOS-subgraph-4'], 'Cu': ['IMUTIV-subgraph-2', 'VOKHOS-subgraph-1', 'IVIVIU-subgraph-0', 'IMUTOB-subgraph-2', 'TEQPUD-subgraph-2', 'BEKZUP-subgraph-0'], 'Pt': ['YEKLUY-subgraph-2', 'DEDTAK-subgraph-2', 'XEYNAS-subgraph-0']}","{'VOZMUS-subgraph-0': [[0]], 'UDOMIM-subgraph-2': [[0]], 'FOYPUG-subgraph-2': [[3]], 'KEPMIZ-subgraph-1': [[0]], 'EXEZUE-subgraph-1': [[0]], 'XUMQOL-subgraph-1': [[0]], 'LEYCUO-subgraph-1': [[0]], 'GEDSUE-subgraph-1': [[0]], 'AVORIM-subgraph-1': [[0]], 'VOZNAZ-subgraph-0': [[0]], 'JAHJOS-subgraph-4': [[0]], 'YUDVOI-subgraph-1': [[0]], 'BEKZUP-subgraph-0': [[0]], 'UDUHUZ-subgraph-2': [[0]], 'HEPWAA-subgraph-0': [[0]], 'VIYYOS-subgraph-1': [[0]], 'XEYNAS-subgraph-0': [[0]], 'IFEVEX-subgraph-2': [[0]], 'LEZDUQ-subgraph-2': [[0]], 'VOKHOS-subgraph-1': [[0]], 'TEXYOL-subgraph-2': [[0]], 'IMUTIV-subgraph-2': [[0]], 'RILFOK-subgraph-1': [[0]], 'OCEPIY-subgraph-2': [[0]], 'IDOTUT-subgraph-2': [[0]], 'DEDTAK-subgraph-2': [[0]], 'QEWFON-subgraph-1': [[0]], 'YAHYIQ-subgraph-1': [[0]], 'FOBXOJ-subgraph-1': [[0]], 'LEYCIC-subgraph-2': [[0]], 'IVIVIU-subgraph-0': [[0]], 'OKAPAR-subgraph-1': [[0]], 'YUDVUO-subgraph-1': [[0]], 'CIBPIP-subgraph-1': [[0]], 'YEKLUY-subgraph-2': [[0]], 'GIPQAA-subgraph-2': [[0]], 'OKANIX-subgraph-1': [[0]], 'OYEGEF-subgraph-0': [[0]], 'LANJIT-subgraph-0': [[0]], 'FOBZAX-subgraph-1': [[0]], 'LEZFIG-subgraph-2': [[0]], 'UFUDAD-subgraph-2': [[0]], 'IDAHAX-subgraph-1': [[0]], 'IWUFAJ-subgraph-1': [[2]], 'TEXXUQ-subgraph-2': [[0]], 'TEQPUD-subgraph-2': [[0]], 'RIKPUZ-subgraph-2': [[0]], 'IFAGIG-subgraph-1': [[0]], 'AVOROS-subgraph-1': [[0]], 'IMUTOB-subgraph-2': [[0]], 'IDAHEB-subgraph-1': [[0]], 'HUNZUL-subgraph-1': [[0]]}",0,<rdkit.Chem.rdchem.Mol object at 0x7710d97b9fd0>,[[0]],<rdkit.Chem.rdchem.Mol object at 0x7710c2baf470>,[Li]<-P(c1ccccc1C)(c1ccccc1C)c1ccccc1C
